subnum	code	topicorder	typeorder	p1f	p1r	p1d	p2f	p2r	p2d	p3f	p3r	p3d	Tf	Tr	Td	Vf	Vr	Vd	T_O	T_P	V_O	V_P	NDcorrect	NDmark	TWRswe	TWRpde	WJwid	WJwatk	pseudopsg	pseudowords	p_total_f	p_avg_f	p_intra_r	p_pre_r	p_post_r	p_pre2_r	p_pre3_r	p_post2_r	p_postpre_r	p_post2pre_r	p_interline_r	p_sweep_r	p_total_r	p_total_d	p_avg_d	p_rest_words	p_rest_total_f	p_rest_avg_f	p_rest_r	p_rest_total_d	p_rest_avg_d	meaningpsg	realword	m_total_f	m_avg_f	m_intra_r	m_pre_r	m_post_r	m_pre2_r	m_pre3_r	m_post2_r	m_postpre_r	m_post2pre_r	m_interline_r	m_sweep_r	m_total_r	m_total_d	m_avg_d	m_rest_word	m_rest_total_f	m_rest_avg_f	m_rest_r	m_rest_total_d	m_rest_avg_d	filter_$	group
"    4.00"	"d"	1	2	22	7	229.45	102	25	254.67	79	22	226.43	79	22	226.43	102	25	254.67	2	2	1	1	26	261	104	57	94	34	1	15	34	2.2666666666666666	5	0	1	0	0	0	0	0	0	0	6	10880	320	46	67	1.4565217391304348	11	14828	221.3134328358209	2	15	21	1.4	2	4	0	0	0	0	0	0	0	0	6	4376	208.38095238095238	46	55	1.1956521739130435	6	12640	229.8181818181818	1	1
"    5.00"	"c"	2	1	25	11	208.16	82	30	195.66	96	30	238.79	82	30	195.66	96	30	238.79	1	2	2	1	36	299	86	61	101	40	1	15	40	2.6666666666666665	6	2	0	0	0	0	0	0	0	0	8	11320	283	46	44	0.9565217391304348	7	11016	250.36363636363637	2	15	24	1.6	5	2	1	0	0	0	0	0	0	0	8	4564	190.16666666666666	46	49	1.065217391304348	9	10968	223.83673469387756	1	1
"    6.00"	"a"	1	1	20	4	297	74	15	237.24	120	26	233.83	74	15	237.24	120	26	233.83	1	1	2	2	31	247	104	62	98	34	2	15	54	3.6	9	3	1	0	0	0	0	0	0	0	13	14656	271.4074074074074	46	63	1.3695652173913044	3	13132	208.44444444444446	1	15	21	1.4	2	0	1	0	0	0	0	0	0	0	3	4620	220	46	53	1.1521739130434783	4	10736	202.56603773584905	0	1
"    7.00"	"d"	1	2	26	11	271.85	137	43	355.8	90	31	240.71	90	31	240.71	137	43	355.8	2	2	1	1	24	164	64	29	90	27	1	15	57	3.8	11	2	3	0	0	0	1	0	0	0	17	26876	471.50877192982455	46	76	1.6521739130434783	14	21320	280.5263157894737	2	0																0						1	1
"    8.00"	"b"	2	2	24	8	229.17	105	24	291.16	78	19	256.97	78	19	256.97	105	24	291.16	2	1	1	2	36	195	102	60	102	41	2	0																0						1	0																0						0	1
"    9.00"	"b"	2	2	22	7	228.18	132	29	280.55	84	22	217.86	84	22	217.86	132	29	280.55	2	1	1	2	26	211	95	53	96	39	2	15	52	3.466666666666667	11	0	1	0	0	0	0	0	0	0	12	17520	336.9230769230769	46	79	1.7173913043478262	7	18680	236.45569620253164	1	15	26	1.7333333333333334	2	1	0	0	0	0	0	0	0	0	3	5112	196.6153846153846	46	26	0.5652173913043478	9	12848	494.15384615384613	0	1
"   10.00"	"d"	1	2	20	8	245.6	122	37	209.48	72	26	200.5	72	26	200.5	122	37	209.48	2	2	1	1	36	195	103	61	100	41	1	9	32	3.5555555555555554	6	1	0	1	0	0	0	0	0	0	8	8298	259.3125	25	32	1.28	4	5502	171.9375	2	0																0						1	1
"   11.00"	"a"	1	1	21	5	196.19	77	17	187.9	118	43	192.98	77	17	187.9	118	43	192.98	1	1	2	2	29	261	104	63	98	41	2	0																0						1	0																0						0	1
"   12.00"	"c"	2	1	21	6	228.76	65	16	198.77	87	23	279.4	65	16	198.77	87	23	279.4	1	2	2	1	32	325	103	55	98	36	1	15	33	2.2	3	0	0	1	0	0	0	0	2	0	6	10752	325.8181818181818	46	52	1.1304347826086956	9	12616	242.6153846153846	2	15	19	1.2666666666666666	1	1	0	0	0	0	0	0	1	0	3	3976	209.26315789473685	46	46	1	4	9093	197.67391304347825	1	1
"   13.00"	"a"	1	1	25	7	227.04	88	28	205.59	109	36	227.89	88	28	205.59	109	36	227.89	1	1	2	2	32	312	102	56	100	39	2	0																0						1	15	24	1.6	5	1	0	0	0	0	0	0	0	0	6	4596	191.5	46	57	1.2391304347826086	10	12704	222.87719298245614	0	1
