month,hour,station_id,station_name,latitude,longitude,observed_days,pickups,returns
2021-02,0,JC003,City Hall,40.7177325,-74.043845,2,2,0
2021-02,0,JC005,Grove St PATH,40.71958611647166,-74.04311746358871,6,4,3
2021-02,0,JC006,Warren St,40.7211236,-74.03805095,1,1,0
2021-02,0,JC008,Newport Pkwy,40.7287448,-74.0321082,5,0,6
2021-02,0,JC009,Hamilton Park,40.727595966,-74.044247311,3,1,2
2021-02,0,JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,3,1,2
2021-02,0,JC019,Hilltop,40.7311689,-74.0575736,1,0,1
2021-02,0,JC020,Baldwin at Montgomery,40.7236589,-74.0641943,1,0,1
2021-02,0,JC023,Brunswick St,40.7241765,-74.0506564,1,1,0
2021-02,0,JC027,Jersey & 6th St,40.72528910781132,-74.04557168483734,2,1,4
2021-02,0,JC032,Newark Ave,40.72152515,-74.046304543,1,1,2
2021-02,0,JC052,Liberty Light Rail,40.7112423,-74.0557013,2,2,3
2021-02,0,JC055,McGinley Square,40.7253399253558,-74.06762212514877,2,0,2
2021-02,0,JC056,Sip Ave,40.73089709786179,-74.06391263008118,6,5,1
2021-02,0,JC063,Jackson Square,40.71113,-74.0789,1,0,1
2021-02,0,JC065,Dey St,40.737711,-74.066921,2,0,2
2021-02,0,JC066,Newport PATH,40.7272235,-74.0337589,6,6,0
2021-02,0,JC075,Monmouth and 6th,40.72568548362901,-74.04879033565521,1,1,0
2021-02,0,JC076,Dixon Mills,40.721630142638354,-74.04996782541275,2,0,2
2021-02,0,JC078,Lafayette Park,40.71346382669195,-74.06285852193832,1,0,1
2021-02,0,JC080,Leonard Gordon Park,40.74590996631558,-74.0572714805603,2,0,2
2021-02,0,JC081,Brunswick & 6th,40.72601172964625,-74.05038893222809,2,0,2
2021-02,0,JC082,Manila & 1st,40.721650724879986,-74.04288411140442,1,2,0
2021-02,0,JC093,Fairmount Ave,40.72572613742557,-74.07195925712585,1,1,0
2021-02,0,JC094,Glenwood Ave,40.72755146730012,-74.07106071710587,1,0,1
2021-02,0,JC095,Bergen Ave,40.722103786686034,-74.07145500183105,1,0,1
2021-02,0,JC098,Washington St,40.7242941,-74.0354826,2,1,1
2021-02,0,JC099,Montgomery St,40.71942,-74.05099,1,0,1
2021-02,0,JC103,Journal Square,40.73367,-74.0625,1,1,0
2021-02,0,JC104,Harborside,40.7192517,-74.034234,1,0,1
2021-02,1,JC005,Grove St PATH,40.71958611647166,-74.04311746358871,5,5,2
2021-02,1,JC006,Warren St,40.7211236,-74.03805095,1,1,0
2021-02,1,JC008,Newport Pkwy,40.7287448,-74.0321082,2,0,2
2021-02,1,JC009,Hamilton Park,40.727595966,-74.044247311,1,1,0
2021-02,1,JC019,Hilltop,40.7311689,-74.0575736,1,1,0
2021-02,1,JC020,Baldwin at Montgomery,40.7236589,-74.0641943,1,0,1
2021-02,1,JC027,Jersey & 6th St,40.72528910781132,-74.04557168483734,1,1,0
2021-02,1,JC034,Christ Hospital,40.734785818,-74.050443636,3,1,2
2021-02,1,JC038,Essex Light Rail,40.7127742,-74.0364857,3,0,3
2021-02,1,JC052,Liberty Light Rail,40.7112423,-74.0557013,2,1,1
