person_id,cohort,weight,age,age_band,education_band,worker_class,puma,sex,race,hispanic_origin,employed
2019-2019GQ0000161-01,2019,73,20,18-34,high_school_some_college,1,00400,1,1,01,0
2019-2019GQ0000185-01,2019,81,18,18-34,high_school_some_college,1,00103,2,1,01,0
2019-2019GQ0000290-01,2019,68,19,18-34,high_school_some_college,1,00104,2,8,03,1
2019-2019GQ0000295-01,2019,67,20,18-34,high_school_some_college,5,00400,2,1,01,1
2019-2019GQ0001532-01,2019,19,20,18-34,high_school_some_college,1,00101,1,1,01,1
2019-2019GQ0001552-01,2019,7,48,35-49,high_school_some_college,missing,00102,2,1,01,0
2019-2019GQ0001710-01,2019,18,19,18-34,high_school_some_college,1,00101,1,6,01,1
2019-2019GQ0002298-01,2019,81,20,18-34,high_school_some_college,1,00103,2,1,01,0
2019-2019GQ0002324-01,2019,58,19,18-34,high_school_some_college,missing,00101,2,1,01,0
2019-2019GQ0002413-01,2019,75,52,50-64,high_school_some_college,missing,00104,2,1,01,0
2019-2019GQ0002510-01,2019,40,19,18-34,high_school_some_college,1,00103,1,1,01,0
2019-2019GQ0002705-01,2019,77,39,35-49,graduate,5,00300,1,9,01,1
2019-2019GQ0002732-01,2019,14,20,18-34,high_school_some_college,3,00101,1,1,01,1
2019-2019GQ0002872-01,2019,65,18,18-34,high_school_some_college,1,00400,1,1,01,0
2019-2019GQ0002879-01,2019,92,19,18-34,high_school_some_college,1,00103,2,8,24,0
2019-2019GQ0002912-01,2019,94,39,35-49,graduate,5,00300,1,9,01,1
2019-2019GQ0003019-01,2019,19,20,18-34,high_school_some_college,1,00101,1,1,01,1
2019-2019GQ0003098-01,2019,20,20,18-34,high_school_some_college,2,00103,1,1,02,1
2019-2019GQ0003150-01,2019,30,36,35-49,high_school_some_college,1,00104,2,1,01,0
2019-2019GQ0003548-01,2019,19,42,35-49,high_school_some_college,1,00104,1,1,01,0
2019-2019GQ0003673-01,2019,99,41,35-49,high_school_some_college,1,00104,1,1,01,0
2019-2019GQ0004001-01,2019,16,18,18-34,high_school_some_college,missing,00103,2,9,01,0
2019-2019GQ0004260-01,2019,127,46,35-49,high_school_some_college,missing,00400,1,1,01,0
2019-2019GQ0004467-01,2019,74,18,18-34,high_school_some_college,missing,00101,1,9,01,0
2019-2019GQ0004777-01,2019,76,19,18-34,high_school_some_college,7,00103,1,8,24,0
2019-2019GQ0004927-01,2019,34,19,18-34,high_school_some_college,1,00300,2,1,01,1
2019-2019GQ0005114-01,2019,59,57,50-64,below_high_school,missing,00103,1,1,03,0
2019-2019GQ0005341-01,2019,7,21,18-34,high_school_some_college,2,00103,1,2,24,1
2019-2019GQ0005627-01,2019,34,19,18-34,high_school_some_college,1,00103,1,2,01,0
2019-2019GQ0006616-01,2019,121,22,18-34,high_school_some_college,2,00103,2,6,01,1
2019-2019GQ0006732-01,2019,59,18,18-34,high_school_some_college,missing,00300,1,1,01,0
2019-2019GQ0007698-01,2019,45,19,18-34,high_school_some_college,1,00300,2,1,01,1
2019-2019GQ0008196-01,2019,94,22,18-34,high_school_some_college,2,00103,1,1,01,1
2019-2019GQ0009869-01,2019,70,19,18-34,high_school_some_college,2,00103,2,1,01,1
2019-2019GQ0009885-01,2019,95,18,18-34,high_school_some_college,missing,00103,1,1,01,0
2019-2019GQ0010113-01,2019,16,55,50-64,below_high_school,3,00400,1,1,01,1
2019-2019GQ0010358-01,2019,66,20,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0010628-01,2019,119,26,18-34,graduate,5,00300,2,1,01,1
2019-2019GQ0011124-01,2019,53,24,18-34,below_high_school,missing,00101,1,1,01,0
2019-2019GQ0011555-01,2019,15,54,50-64,high_school_some_college,missing,00104,2,1,01,0
2019-2019GQ0011703-01,2019,75,62,50-64,associate_bachelor,6,00102,1,1,01,0
2019-2019GQ0011729-01,2019,59,18,18-34,high_school_some_college,4,00103,2,1,01,1
2019-2019GQ0011876-01,2019,77,22,18-34,high_school_some_college,2,00300,2,1,01,0
2019-2019GQ0012070-01,2019,17,28,18-34,below_high_school,missing,00201,1,1,24,0
2019-2019GQ0012465-01,2019,53,19,18-34,high_school_some_college,1,00103,2,1,01,0
2019-2019GQ0012610-01,2019,20,37,35-49,high_school_some_college,missing,00104,2,1,01,0
2019-2019GQ0012622-01,2019,67,18,18-34,high_school_some_college,2,00400,1,1,01,0
2019-2019GQ0012994-01,2019,76,19,18-34,high_school_some_college,2,00400,2,1,01,0
2019-2019GQ0013220-01,2019,131,33,18-34,associate_bachelor,5,00300,1,6,01,1
2019-2019GQ0013478-01,2019,6,19,18-34,high_school_some_college,1,00103,1,6,01,1
2019-2019GQ0013530-01,2019,72,19,18-34,high_school_some_college,2,00103,2,1,01,0
2019-2019GQ0013651-01,2019,38,20,18-34,high_school_some_college,1,00300,1,1,01,0
2019-2019GQ0013710-01,2019,85,19,18-34,high_school_some_college,1,00400,1,1,01,0
2019-2019GQ0013842-01,2019,67,20,18-34,high_school_some_college,6,00400,1,1,01,1
2019-2019GQ0014990-01,2019,68,19,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0015061-01,2019,21,46,35-49,high_school_some_college,missing,00300,1,1,01,0
2019-2019GQ0015659-01,2019,10,61,50-64,below_high_school,missing,00300,2,1,24,0
2019-2019GQ0015719-01,2019,92,18,18-34,high_school_some_college,1,00300,2,1,01,0
2019-2019GQ0015842-01,2019,35,20,18-34,high_school_some_college,1,00103,1,2,01,0
2019-2019GQ0015904-01,2019,78,21,18-34,high_school_some_college,2,00103,1,1,01,0
2019-2019GQ0016016-01,2019,69,18,18-34,high_school_some_college,1,00101,1,1,01,0
2019-2019GQ0016237-01,2019,120,23,18-34,high_school_some_college,2,00104,1,2,01,0
2019-2019GQ0017296-01,2019,95,19,18-34,high_school_some_college,1,00103,2,6,01,0
2019-2019GQ0017715-01,2019,24,18,18-34,high_school_some_college,1,00300,1,1,01,0
2019-2019GQ0017878-01,2019,38,18,18-34,high_school_some_college,1,00103,1,1,01,1
2019-2019GQ0018087-01,2019,70,54,50-64,high_school_some_college,missing,00103,2,1,01,0
2019-2019GQ0018252-01,2019,106,20,18-34,high_school_some_college,2,00103,1,8,03,1
2019-2019GQ0018271-01,2019,15,48,35-49,high_school_some_college,missing,00201,2,1,01,0
2019-2019GQ0018490-01,2019,97,19,18-34,high_school_some_college,1,00103,2,1,07,1
2019-2019GQ0018550-01,2019,90,19,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0018727-01,2019,38,20,18-34,high_school_some_college,missing,00103,1,2,02,0
2019-2019GQ0018854-01,2019,65,19,18-34,high_school_some_college,4,00103,2,1,01,1
2019-2019GQ0019023-01,2019,62,18,18-34,high_school_some_college,1,00104,2,1,01,1
2019-2019GQ0019603-01,2019,62,18,18-34,high_school_some_college,1,00400,2,1,01,1
2019-2019GQ0020531-01,2019,53,19,18-34,high_school_some_college,1,00101,1,1,01,1
2019-2019GQ0021251-01,2019,80,20,18-34,high_school_some_college,4,00103,1,1,01,0
2019-2019GQ0021461-01,2019,43,21,18-34,high_school_some_college,1,00103,1,1,01,0
2019-2019GQ0021634-01,2019,37,36,35-49,associate_bachelor,1,00104,1,8,01,0
2019-2019GQ0021667-01,2019,111,22,18-34,associate_bachelor,1,00300,1,1,01,1
2019-2019GQ0021680-01,2019,97,19,18-34,high_school_some_college,1,00103,2,8,24,0
2019-2019GQ0021769-01,2019,56,19,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0022210-01,2019,218,18,18-34,high_school_some_college,missing,00300,1,1,01,0
2019-2019GQ0022328-01,2019,88,20,18-34,high_school_some_college,1,00103,1,1,01,0
2019-2019GQ0022676-01,2019,84,20,18-34,high_school_some_college,1,00103,2,1,01,0
2019-2019GQ0022909-01,2019,131,26,18-34,graduate,5,00300,2,1,01,1
2019-2019GQ0022916-01,2019,83,20,18-34,high_school_some_college,1,00103,2,6,01,0
2019-2019GQ0023021-01,2019,52,18,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0023464-01,2019,21,24,18-34,below_high_school,missing,00103,1,1,01,0
2019-2019GQ0023609-01,2019,20,61,50-64,high_school_some_college,6,00101,1,2,01,0
2019-2019GQ0023639-01,2019,53,19,18-34,high_school_some_college,4,00400,1,1,01,1
2019-2019GQ0023836-01,2019,8,29,18-34,below_high_school,1,00104,2,1,01,0
2019-2019GQ0024160-01,2019,10,58,50-64,high_school_some_college,missing,00102,1,2,01,0
2019-2019GQ0024555-01,2019,76,19,18-34,high_school_some_college,1,00103,1,1,01,0
2019-2019GQ0024578-01,2019,78,19,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0025064-01,2019,6,24,18-34,below_high_school,missing,00103,1,1,01,0
2019-2019GQ0025139-01,2019,5,19,18-34,high_school_some_college,1,00103,2,6,01,0
2019-2019GQ0025896-01,2019,145,19,18-34,high_school_some_college,1,00103,2,2,01,0
