transaction_id,sale_date,sale_year,borough,neighborhood,property_type,building_class_category,commercial_units,total_units,gross_square_feet,sale_price,price_per_sqft,year_built,latitude,longitude,community_board
2-2594-30-2021-01-04-4000000,2021-01-04,2021,Bronx,MOTT HAVEN/PORT MORRIS,Other commercial,41 TAX CLASS 4 - OTHER,1,1,17745.0,4000000.0,225.41561003099466,1990,40.800809,-73.909807,201
3-6749-97-2021-01-04-1060000,2021-01-04,2021,Brooklyn,MIDWOOD,Retail,22 STORE BUILDINGS,4,4,2200.0,1060000.0,481.8181818181818,1931,40.614774,-73.963268,314
2-3984-25-2021-01-05-1250000,2021-01-05,2021,Bronx,WESTCHESTER,Retail,22 STORE BUILDINGS,2,2,2940.0,1250000.0,425.1700680272109,1950,40.841621,-73.843486,210
3-1699-21-2021-01-05-1470000,2021-01-05,2021,Brooklyn,BEDFORD STUYVESANT,Other commercial,01 ONE FAMILY DWELLINGS,1,2,2800.0,1470000.0,525.0,1927,40.679698,-73.93696,303
3-278-22-2021-01-06-9000000,2021-01-06,2021,Brooklyn,BOERUM HILL,Other commercial,14 RENTALS - 4-10 UNIT,1,4,6000.0,9000000.0,1500.0,1910,40.689544,-73.991952,302
3-278-23-2021-01-06-9000000,2021-01-06,2021,Brooklyn,BOERUM HILL,Other commercial,02 TWO FAMILY DWELLINGS,1,3,3280.0,9000000.0,2743.9024390243903,1910,40.689525,-73.991898,302
3-278-24-2021-01-06-9000000,2021-01-06,2021,Brooklyn,BOERUM HILL,Other commercial,02 TWO FAMILY DWELLINGS,1,3,3832.0,9000000.0,2348.643006263048,1930,40.689506,-73.991843,302
3-7904-55-2021-01-06-650000,2021-01-06,2021,Brooklyn,OLD MILL BASIN,Other commercial,01 ONE FAMILY DWELLINGS,1,2,1260.0,650000.0,515.8730158730159,1931,40.618875,-73.917199,318
1-832-76-2021-01-06-4500000,2021-01-06,2021,Manhattan,FASHION,Retail,22 STORE BUILDINGS,1,1,3290.0,4500000.0,1367.7811550151976,1910,40.747612,-73.988512,105
4-13567-50-2021-01-06-525000,2021-01-06,2021,Queens,ROSEDALE,Office,21 OFFICE BUILDINGS,1,1,1900.0,525000.0,276.3157894736842,1957,40.658428,-73.740619,413
5-1155-170-2021-01-06-615000,2021-01-06,2021,Staten Island,MARINERS HARBOR,Other commercial,02 TWO FAMILY DWELLINGS,1,3,1482.0,615000.0,414.97975708502025,1931,40.632559,-74.147348,501
3-2661-34-2021-01-07-8500000,2021-01-07,2021,Brooklyn,GREENPOINT,Industrial,30 WAREHOUSES,1,1,21560.0,8500000.0,394.24860853432284,1931,40.726195,-73.938493,301
3-3671-38-2021-01-07-2400000,2021-01-07,2021,Brooklyn,CYPRESS HILLS,Other commercial,14 RENTALS - 4-10 UNIT,1,5,9000.0,2400000.0,266.6666666666667,1900,40.675875,-73.895343,305
3-643-42-2021-01-07-1575000,2021-01-07,2021,Brooklyn,SUNSET PARK,Other commercial,02 TWO FAMILY DWELLINGS,1,3,2670.0,1575000.0,589.8876404494382,1930,40.660991,-73.993808,307
1-1788-48-2021-01-07-2350000,2021-01-07,2021,Manhattan,HARLEM-EAST,Retail,22 STORE BUILDINGS,1,1,4795.0,2350000.0,490.0938477580813,1910,40.802817,-73.93645,111
4-12593-107-2021-01-07-800000,2021-01-07,2021,Queens,SPRINGFIELD GARDENS,Retail,22 STORE BUILDINGS,1,1,5280.0,800000.0,151.5151515151515,1937,40.669511,-73.765702,412
4-8660-7-2021-01-07-658500,2021-01-07,2021,Queens,BELLEROSE,Other commercial,02 TWO FAMILY DWELLINGS,1,3,2600.0,658500.0,253.26923076923077,1925,40.725123,-73.721704,413
