"borough","neighborhood","building_class_category","block","lot","commercial_units","total_units","gross_square_feet","year_built","sale_price","sale_date","latitude","longitude","community_board"
"1","UPPER WEST SIDE (59-79)","14 RENTALS - 4-10 UNIT","1122","50","1","4","6,380","1920","0","2021-01-01T00:00:00.000","40.775398","-73.978084","107"
"1","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","1468","13","3","21","9,440","1910","0","2021-01-01T00:00:00.000","40.768214","-73.954837","108"
"1","SOHO","44 CONDO PARKING","228","1320","1","1",,"2013","0","2021-01-01T00:00:00.000",,,
"1","LOWER EAST SIDE","14 RENTALS - 4-10 UNIT","353","22","1","5","11,141","1920","0","2021-01-01T00:00:00.000","40.71969","-73.987096","103"
"1","LOWER EAST SIDE","07 RENTALS - WALKUP APARTMENTS","410","46","3","28","20,580","1910","0","2021-01-01T00:00:00.000","40.719783","-73.988496","103"
"1","FASHION","21 OFFICE BUILDINGS","805","39","15","15","79,465","1913","0","2021-01-01T00:00:00.000","40.746965","-73.990772","105"
"1","FASHION","21 OFFICE BUILDINGS","805","39","15","15","79,465","1913","0","2021-01-01T00:00:00.000","40.746965","-73.990772","105"
"1","FASHION","21 OFFICE BUILDINGS","805","39","15","15","79,465","1913","0","2021-01-01T00:00:00.000","40.746965","-73.990772","105"
"3","BEDFORD STUYVESANT","22 STORE BUILDINGS","1859","34","2","2","3,410","1910","0","2021-01-01T00:00:00.000","40.679751","-73.937624","303"
"3","BOROUGH PARK","01 ONE FAMILY DWELLINGS","5690","33","1","2","4,125","1925","0","2021-01-01T00:00:00.000","40.631602","-73.997035","312"
"3","BAY RIDGE","02 TWO FAMILY DWELLINGS","5999","5","1","3","3,600","1931","0","2021-01-01T00:00:00.000","40.624853","-74.024518","310"
"3","BAY RIDGE","22 STORE BUILDINGS","6036","49","1","3","2,700","1926","0","2021-01-01T00:00:00.000","40.620867","-74.025165","310"
"3","BAY RIDGE","02 TWO FAMILY DWELLINGS","6045","3","1","3","3,480","1925","0","2021-01-01T00:00:00.000","40.622283","-74.028551","310"
"4","SPRINGFIELD GARDENS","26 OTHER HOTELS","12301","15","1","1","8,648","1966","0","2021-01-01T00:00:00.000","40.668119","-73.781153","412"
"4","LONG ISLAND CITY","29 COMMERCIAL GARAGES","428","17","2","2","3,000","1954","0","2021-01-01T00:00:00.000","40.750577","-73.942708","402"
"5","CONCORD","01 ONE FAMILY DWELLINGS","2882","41","1","2","1,428","1953","0","2021-01-01T00:00:00.000","40.612215","-74.08795","501"
"1","MIDTOWN WEST","46 CONDO STORE BUILDINGS","1027","1501","1","1",,,"0","2021-01-04T00:00:00.000","40.764903","-73.982178","105"
"1","MIDTOWN WEST","43 CONDO OFFICE BUILDINGS","1027","1502","1","1",,,"0","2021-01-04T00:00:00.000","40.764903","-73.982178","105"
"1","UPPER EAST SIDE (59-79)","47 CONDO NON-BUSINESS STORAGE","1411","1009","1","1",,"1999","0","2021-01-04T00:00:00.000","40.772899","-73.960033","108"
"2","MOTT HAVEN/PORT MORRIS","41 TAX CLASS 4 - OTHER","2594","30","1","1","17,745","1990","4000000","2021-01-04T00:00:00.000","40.800809","-73.909807","201"
"3","OCEAN HILL","01 ONE FAMILY DWELLINGS","1462","12","1","2","1,800","1923","0","2021-01-04T00:00:00.000","40.672756","-73.921703","316"
"3","CYPRESS HILLS","01 ONE FAMILY DWELLINGS","3671","36","1","2","2,000","1920","0","2021-01-04T00:00:00.000","40.675907","-73.89505","305"
"3","MIDWOOD","22 STORE BUILDINGS","6749","97","4","4","2,200","1931","1060000","2021-01-04T00:00:00.000","40.614774","-73.963268","314"
"3","OCEAN PARKWAY-SOUTH","29 COMMERCIAL GARAGES","7173","66","1","1","0","1930","0","2021-01-04T00:00:00.000","40.591097","-73.974061","315"
"3","OLD MILL BASIN","21 OFFICE BUILDINGS","7896","48","2","2","2,320","1931","0","2021-01-04T00:00:00.000","40.619024","-73.925588","318"
"4","ELMHURST","46 CONDO STORE BUILDINGS","1842","1067","1","1",,"1986","540000","2021-01-04T00:00:00.000","40.737456","-73.876222","404"
"4","ELMHURST","46 CONDO STORE BUILDINGS","1842","1068","1","1",,"1986","540000","2021-01-04T00:00:00.000","40.737456","-73.876222","404"
"4","RIDGEWOOD","14 RENTALS - 4-10 UNIT","3574","10","1","6","4,800","1931","0","2021-01-04T00:00:00.000","40.699768","-73.90206","405"
"4","FLUSHING-NORTH","43 CONDO OFFICE BUILDINGS","4946","1032","1","1",,"1986","100000","2021-01-04T00:00:00.000","40.764243","-73.833365","407"
"4","FLUSHING-NORTH","01 ONE FAMILY DWELLINGS","5393","116","1","2","1,686","1930","0","2021-01-04T00:00:00.000","40.759979","-73.804029","407"
"4","ASTORIA","01 ONE FAMILY DWELLINGS","650","66","1","2","2,720","1930","0","2021-01-04T00:00:00.000","40.763813","-73.918384","401"
"1","LOWER EAST SIDE","46 CONDO STORE BUILDINGS","422","1002","1","1",,,"2250000","2021-01-05T00:00:00.000","40.722621","-73.989689","103"
"2","WESTCHESTER","22 STORE BUILDINGS","3984","25","2","2","2,940","1950","1250000","2021-01-05T00:00:00.000","40.841621","-73.843486","210"
"2","RIVERDALE","22 STORE BUILDINGS","5888","1554","3","3","4,021","1930","0","2021-01-05T00:00:00.000","40.910742","-73.89663","208"
"3","CROWN HEIGHTS","08 RENTALS - ELEVATOR APARTMENTS","1422","5","4","50","57,629","1929","0","2021-01-05T00:00:00.000","40.664757","-73.939289","309"
"3","BEDFORD STUYVESANT","01 ONE FAMILY DWELLINGS","1699","21","1","2","2,800","1927","1470000","2021-01-05T00:00:00.000","40.679698","-73.93696","303"
"3","WILLIAMSBURG-NORTH","44 CONDO PARKING","2297","1207","1","1",,"2007","1335000","2021-01-05T00:00:00.000","40.72008","-73.956868","301"
"4","SOUTH OZONE PARK","14 RENTALS - 4-10 UNIT","11710","34","2","4","2,960","1930","0","2021-01-05T00:00:00.000","40.676389","-73.820837","410"
"4","SOUTH OZONE PARK","22 STORE BUILDINGS","11710","36","1","2","2,920","1930","0","2021-01-05T00:00:00.000","40.676367","-73.820711","410"
"4","SO. JAMAICA-BAISLEY PARK","41 TAX CLASS 4 - OTHER","12392","58","1","1","0",,"300000","2021-01-05T00:00:00.000","40.683315","-73.770034","412"
"4","OAKLAND GARDENS","44 CONDO PARKING","7621","1032","1","1",,,"0","2021-01-05T00:00:00.000","40.745127","-73.756767","411"
"1","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","1238","1","1","11","5,928","1920","0","2021-01-06T00:00:00.000","40.791611","-73.975854","107"
"1","CIVIC CENTER","46 CONDO STORE BUILDINGS","135","1903","1","1",,"2017","12000000","2021-01-06T00:00:00.000","40.714774","-74.007633","101"
"1","HARLEM-CENTRAL","07 RENTALS - WALKUP APARTMENTS","2045","75","1","10","9,985","1910","0","2021-01-06T00:00:00.000","40.825226","-73.940179","110"
"1","HARLEM-CENTRAL","07 RENTALS - WALKUP APARTMENTS","2045","76","1","10","9,132","1910","0","2021-01-06T00:00:00.000","40.82529","-73.940132","110"
"1","SOHO","46 CONDO STORE BUILDINGS","595","1201","1","1",,"1920","3200000","2021-01-06T00:00:00.000","40.724367","-74.010178","101"
"1","FASHION","22 STORE BUILDINGS","832","76","1","1","3,290","1910","4500000","2021-01-06T00:00:00.000","40.747612","-73.988512","105"
"3","CROWN HEIGHTS","44 CONDO PARKING","1178","1102","1","1",,"2011","938000","2021-01-06T00:00:00.000","40.672608","-73.960886","308"
"3","BOERUM HILL","14 RENTALS - 4-10 UNIT","278","22","1","4","6,000","1910","9000000","2021-01-06T00:00:00.000","40.689544","-73.991952","302"
"3","BOERUM HILL","02 TWO FAMILY DWELLINGS","278","23","1","3","3,280","1910","9000000","2021-01-06T00:00:00.000","40.689525","-73.991898","302"
"3","BOERUM HILL","02 TWO FAMILY DWELLINGS","278","24","1","3","3,832","1930","9000000","2021-01-06T00:00:00.000","40.689506","-73.991843","302"
"3","BOROUGH PARK","02 TWO FAMILY DWELLINGS","5698","22","1","3","3,600","1900","0","2021-01-06T00:00:00.000","40.629835","-73.995958","312"
"3","OLD MILL BASIN","01 ONE FAMILY DWELLINGS","7904","55","1","2","1,260","1931","650000","2021-01-06T00:00:00.000","40.618875","-73.917199","318"
"3","SUNSET PARK","44 CONDO PARKING","922","1238","1","1",,"2015","375180","2021-01-06T00:00:00.000","40.646073","-73.998569","307"
"4","ROSEDALE","21 OFFICE BUILDINGS","13567","50","1","1","1,900","1957","525000","2021-01-06T00:00:00.000","40.658428","-73.740619","413"
"4","LONG ISLAND CITY","47 CONDO NON-BUSINESS STORAGE","81","1078","1","1",,"2018","916425","2021-01-06T00:00:00.000","40.746394","-73.942863","402"
"5","MARINERS HARBOR","02 TWO FAMILY DWELLINGS","1155","170","1","3","1,482","1931","615000","2021-01-06T00:00:00.000","40.632559","-74.147348","501"
"1","UPPER WEST SIDE (59-79)","47 CONDO NON-BUSINESS STORAGE","1171","2273","1","1",,"2004","810000","2021-01-07T00:00:00.000","40.780478","-73.987337","107"
"1","HARLEM-EAST","11 SPECIAL CONDO BILLING LOTS","1646","1102","1","262","241,417","2005","0","2021-01-07T00:00:00.000","40.784784","-73.948348","111"
