city,date,service_family,requests
Chicago,2022-01-01,housing_buildings,45
Chicago,2022-01-01,information_administration,1836
Chicago,2022-01-01,noise,397
Chicago,2022-01-01,other,43
Chicago,2022-01-01,sanitation,104
Chicago,2022-01-01,transport_public_realm,227
Chicago,2022-01-02,housing_buildings,89
Chicago,2022-01-02,information_administration,2104
Chicago,2022-01-02,noise,448
Chicago,2022-01-02,other,44
Chicago,2022-01-02,sanitation,127
Chicago,2022-01-02,transport_public_realm,381
Chicago,2022-01-03,housing_buildings,195
Chicago,2022-01-03,information_administration,3549
Chicago,2022-01-03,noise,337
Chicago,2022-01-03,other,66
Chicago,2022-01-03,sanitation,411
Chicago,2022-01-03,transport_public_realm,856
Chicago,2022-01-04,housing_buildings,184
Chicago,2022-01-04,information_administration,3190
Chicago,2022-01-04,noise,341
Chicago,2022-01-04,other,65
Chicago,2022-01-04,sanitation,417
Chicago,2022-01-04,transport_public_realm,1020
Chicago,2022-01-05,housing_buildings,196
Chicago,2022-01-05,information_administration,2819
Chicago,2022-01-05,noise,334
Chicago,2022-01-05,other,73
Chicago,2022-01-05,sanitation,288
Chicago,2022-01-05,transport_public_realm,727
Chicago,2022-01-06,housing_buildings,185
Chicago,2022-01-06,information_administration,3188
Chicago,2022-01-06,noise,462
Chicago,2022-01-06,other,58
Chicago,2022-01-06,sanitation,424
Chicago,2022-01-06,transport_public_realm,677
Chicago,2022-01-07,housing_buildings,241
Chicago,2022-01-07,information_administration,3184
Chicago,2022-01-07,noise,337
Chicago,2022-01-07,other,96
Chicago,2022-01-07,sanitation,272
Chicago,2022-01-07,transport_public_realm,607
Chicago,2022-01-08,housing_buildings,164
Chicago,2022-01-08,information_administration,1969
Chicago,2022-01-08,noise,580
Chicago,2022-01-08,other,87
Chicago,2022-01-08,sanitation,152
Chicago,2022-01-08,transport_public_realm,393
Chicago,2022-01-09,housing_buildings,146
Chicago,2022-01-09,information_administration,1970
Chicago,2022-01-09,noise,618
Chicago,2022-01-09,other,84
Chicago,2022-01-09,sanitation,119
Chicago,2022-01-09,transport_public_realm,498
Chicago,2022-01-10,housing_buildings,275
Chicago,2022-01-10,information_administration,4054
Chicago,2022-01-10,noise,469
Chicago,2022-01-10,other,154
Chicago,2022-01-10,sanitation,407
Chicago,2022-01-10,transport_public_realm,2944
Chicago,2022-01-11,housing_buildings,262
Chicago,2022-01-11,information_administration,2783
Chicago,2022-01-11,noise,342
Chicago,2022-01-11,other,130
Chicago,2022-01-11,sanitation,361
Chicago,2022-01-11,transport_public_realm,806
Chicago,2022-01-12,housing_buildings,226
Chicago,2022-01-12,information_administration,2321
Chicago,2022-01-12,noise,571
Chicago,2022-01-12,other,155
Chicago,2022-01-12,sanitation,322
Chicago,2022-01-12,transport_public_realm,758
Chicago,2022-01-13,housing_buildings,232
Chicago,2022-01-13,information_administration,2998
Chicago,2022-01-13,noise,776
Chicago,2022-01-13,other,134
Chicago,2022-01-13,sanitation,436
Chicago,2022-01-13,transport_public_realm,671
Chicago,2022-01-14,housing_buildings,163
Chicago,2022-01-14,information_administration,3017
Chicago,2022-01-14,noise,553
Chicago,2022-01-14,other,134
Chicago,2022-01-14,sanitation,350
Chicago,2022-01-14,transport_public_realm,534
Chicago,2022-01-15,housing_buildings,102
Chicago,2022-01-15,information_administration,1479
Chicago,2022-01-15,noise,414
Chicago,2022-01-15,other,78
Chicago,2022-01-15,sanitation,119
Chicago,2022-01-15,transport_public_realm,323
Chicago,2022-01-16,housing_buildings,85
Chicago,2022-01-16,information_administration,1725
Chicago,2022-01-16,noise,713
Chicago,2022-01-16,other,76
Chicago,2022-01-16,sanitation,138
Chicago,2022-01-16,transport_public_realm,270
Chicago,2022-01-17,housing_buildings,140
Chicago,2022-01-17,information_administration,2637
Chicago,2022-01-17,noise,615
Chicago,2022-01-17,other,75
Chicago,2022-01-17,sanitation,198
Chicago,2022-01-17,transport_public_realm,379
Chicago,2022-01-18,housing_buildings,219
Chicago,2022-01-18,information_administration,3335
