city,date,category,requests
Chicago,2022-01-01,311 INFORMATION ONLY CALL,1606
Chicago,2022-01-01,Abandoned Vehicle Complaint,56
Chicago,2022-01-01,Aircraft Noise Complaint,397
Chicago,2022-01-01,Alley Light Out Complaint,6
Chicago,2022-01-01,Alley Pothole Complaint,3
Chicago,2022-01-01,Alley Sewer Inspection Request,1
Chicago,2022-01-01,Bee/Wasp Removal,1
Chicago,2022-01-01,Blue Recycling Cart,15
Chicago,2022-01-01,Building Violation,14
Chicago,2022-01-01,Buildings - Plumbing Violation,13
Chicago,2022-01-01,Bungalow/Vintage Home Information Request,1
Chicago,2022-01-01,Business Complaints,4
Chicago,2022-01-01,Cab Feedback,2
Chicago,2022-01-01,Check for Leak,18
Chicago,2022-01-01,City Vehicle Sticker Violation,7
Chicago,2022-01-01,Clean Vacant Lot Request,1
Chicago,2022-01-01,Coyote Interaction Complaint,1
Chicago,2022-01-01,Dead Animal Pick-Up Request,12
Chicago,2022-01-01,Divvy Bike Parking Complaint,3
Chicago,2022-01-01,Fly Dumping Complaint,11
Chicago,2022-01-01,Garbage Cart Maintenance,34
Chicago,2022-01-01,Graffiti Removal Request,96
Chicago,2022-01-01,Ice and Snow Removal Request,24
Chicago,2022-01-01,Inspect Public Way Request,9
Chicago,2022-01-01,Lead Inspection Request,1
Chicago,2022-01-01,Low Water Pressure Complaint,1
Chicago,2022-01-01,Missed Garbage Pick-Up Complaint,11
Chicago,2022-01-01,No Building Permit and Construction Violation,3
Chicago,2022-01-01,No Water Complaint,1
Chicago,2022-01-01,Nuisance Animal Complaint,3
Chicago,2022-01-01,Pet Wellness Check Request,11
Chicago,2022-01-01,Pothole in Street Complaint,11
Chicago,2022-01-01,Recycling Pick Up,5
Chicago,2022-01-01,Report an Injured Animal,11
Chicago,2022-01-01,Restaurant Complaint,5
Chicago,2022-01-01,Rodent Baiting/Rat Complaint,25
Chicago,2022-01-01,Sanitation Code Violation,6
Chicago,2022-01-01,Sewer Cleaning Inspection Request,3
Chicago,2022-01-01,Sidewalk Inspection Request,4
Chicago,2022-01-01,Sign Repair Request - All Other Signs,8
Chicago,2022-01-01,Sign Repair Request - Stop Sign,3
Chicago,2022-01-01,Snow - Object/Dibs Removal Request,5
Chicago,2022-01-01,Snow Removal - Protected Bike Lane or Bridge Sidewalk,3
Chicago,2022-01-01,Snow – Uncleared Sidewalk Complaint,3
Chicago,2022-01-01,Stray Animal Complaint,25
Chicago,2022-01-01,Street Cleaning Request,5
Chicago,2022-01-01,Street Light On During Day Complaint,3
Chicago,2022-01-01,Street Light Out Complaint,31
Chicago,2022-01-01,Street Light Pole Damage Complaint,34
Chicago,2022-01-01,Street Light Pole Door Missing Complaint,1
Chicago,2022-01-01,Traffic Signal Out Complaint,45
Chicago,2022-01-01,Tree Debris Clean-Up Request,4
Chicago,2022-01-01,Tree Emergency,2
Chicago,2022-01-01,Tree Planting Request,2
Chicago,2022-01-01,Tree Removal Inspection,9
Chicago,2022-01-01,Vacant/Abandoned Building Complaint,3
Chicago,2022-01-01,Vehicle Parked in Bike Lane Complaint,1
Chicago,2022-01-01,Viaduct Light Out Complaint,1
Chicago,2022-01-01,Vicious Animal Complaint,12
Chicago,2022-01-01,Water Lead Test Kit Request,3
Chicago,2022-01-01,Water On Street Complaint,1
Chicago,2022-01-01,Water in Basement Complaint,4
Chicago,2022-01-01,Yard Waste Pick-Up Request,8
Chicago,2022-01-02,311 INFORMATION ONLY CALL,1730
Chicago,2022-01-02,Abandoned Vehicle Complaint,52
Chicago,2022-01-02,Aircraft Noise Complaint,448
Chicago,2022-01-02,Alley Light Out Complaint,3
Chicago,2022-01-02,Alley Pothole Complaint,1
Chicago,2022-01-02,Blue Recycling Cart,18
Chicago,2022-01-02,Building Violation,30
Chicago,2022-01-02,Buildings - Plumbing Violation,16
Chicago,2022-01-02,Business Complaints,9
Chicago,2022-01-02,Cab Feedback,4
Chicago,2022-01-02,Check for Leak,9
Chicago,2022-01-02,Clean Vacant Lot Request,2
Chicago,2022-01-02,Commercial Fire Safety Inspection Request,1
Chicago,2022-01-02,Consumer Fraud Complaint,2
Chicago,2022-01-02,Coyote Interaction Complaint,2
Chicago,2022-01-02,Dead Animal Pick-Up Request,5
Chicago,2022-01-02,Divvy Bike Parking Complaint,1
Chicago,2022-01-02,Fly Dumping Complaint,8
Chicago,2022-01-02,Garbage Cart Maintenance,45
Chicago,2022-01-02,Graffiti Removal Request,95
Chicago,2022-01-02,Home Buyer Program Info Request,2
Chicago,2022-01-02,Ice and Snow Removal Request,151
Chicago,2022-01-02,Inspect Public Way Request,6
Chicago,2022-01-02,Low Water Pressure Complaint,3
Chicago,2022-01-02,Missed Garbage Pick-Up Complaint,7
Chicago,2022-01-02,No Building Permit and Construction Violation,4
Chicago,2022-01-02,No Water Complaint,14
Chicago,2022-01-02,Nuisance Animal Complaint,6
Chicago,2022-01-02,Open Fire Hydrant Complaint,4
Chicago,2022-01-02,Pet Wellness Check Request,10
Chicago,2022-01-02,Pothole in Street Complaint,13
Chicago,2022-01-02,Recycling Pick Up,2
Chicago,2022-01-02,Report an Injured Animal,19
Chicago,2022-01-02,Restaurant Complaint,6
Chicago,2022-01-02,Rodent Baiting/Rat Complaint,35
Chicago,2022-01-02,Sanitation Code Violation,12
Chicago,2022-01-02,Sewer Cave-In Inspection Request,2
Chicago,2022-01-02,Sewer Cleaning Inspection Request,4
Chicago,2022-01-02,Sidewalk Café/Outdoor Dining Complaint,2
Chicago,2022-01-02,Sidewalk Inspection Request,11
Chicago,2022-01-02,Sign Repair Request - All Other Signs,26
Chicago,2022-01-02,Sign Repair Request - Stop Sign,11
Chicago,2022-01-02,Snow - Object/Dibs Removal Request,19
Chicago,2022-01-02,Snow Removal - Protected Bike Lane or Bridge Sidewalk,15
Chicago,2022-01-02,Snow – Uncleared Sidewalk Complaint,103
Chicago,2022-01-02,Stray Animal Complaint,25
Chicago,2022-01-02,Street Light On During Day Complaint,2
Chicago,2022-01-02,Street Light Out Complaint,66
Chicago,2022-01-02,Street Light Pole Damage Complaint,9
Chicago,2022-01-02,Street Light Pole Door Missing Complaint,3
Chicago,2022-01-02,Traffic Signal Out Complaint,53
Chicago,2022-01-02,Tree Debris Clean-Up Request,4
Chicago,2022-01-02,Tree Emergency,6
Chicago,2022-01-02,Tree Planting Request,6
Chicago,2022-01-02,Tree Removal Inspection,6
Chicago,2022-01-02,Viaduct Light Out Complaint,1
Chicago,2022-01-02,Vicious Animal Complaint,9
Chicago,2022-01-02,Water Lead Test Kit Request,13
Chicago,2022-01-02,Water On Street Complaint,10
Chicago,2022-01-02,Water in Basement Complaint,3
Chicago,2022-01-02,Wire Basket Request,1
Chicago,2022-01-02,Yard Waste Pick-Up Request,8
Chicago,2022-01-03,311 INFORMATION ONLY CALL,2260
Chicago,2022-01-03,Abandoned Vehicle Complaint,116
Chicago,2022-01-03,Aircraft Noise Complaint,337
Chicago,2022-01-03,Alley Light Out Complaint,18
Chicago,2022-01-03,Alley Pothole Complaint,4
Chicago,2022-01-03,Alley Sewer Inspection Request,2
Chicago,2022-01-03,Bicycle Request/Complaint,2
Chicago,2022-01-03,Blue Recycling Cart,67
Chicago,2022-01-03,Building Violation,60
Chicago,2022-01-03,Buildings - Plumbing Violation,13
Chicago,2022-01-03,Business Complaints,24
Chicago,2022-01-03,Cab Feedback,4
Chicago,2022-01-03,Check for Leak,33
Chicago,2022-01-03,City Vehicle Sticker Violation,6
Chicago,2022-01-03,Clean Vacant Lot Request,1
Chicago,2022-01-03,Consumer Fraud Complaint,4
Chicago,2022-01-03,Consumer Retail Business Complaint,1
