entity,cik,fiscal_year,period_end,revenue,gross_profit,operating_income,net_income,operating_cash_flow,capital_expenditure,inventory,receivables,accounts_payable,assets,equity,cash,long_term_debt
McKesson,0000927653,2018,2018-03-31,208357000000,11184000000,762000000,67000000,4345000000,405000000,16310000000,17711000000,32177000000,60381000000,9804000000,2672000000,6751000000
McKesson,0000927653,2019,2019-03-31,214319000000,11754000000,886000000,34000000,4036000000,426000000,16709000000,18246000000,33853000000,59672000000,8094000000,2981000000,7265000000
McKesson,0000927653,2020,2020-03-31,231051000000,12023000000,2489000000,900000000,4374000000,362000000,16734000000,19950000000,37195000000,61247000000,5092000000,4015000000,6335000000
McKesson,0000927653,2021,2021-03-31,238228000000,12148000000,-5040000000,-4539000000,4542000000,451000000,19246000000,19181000000,38975000000,65015000000,-21000000,6278000000,6406000000
McKesson,0000927653,2022,2022-03-31,263966000000,13130000000,2038000000,1114000000,4434000000,388000000,18702000000,18583000000,38086000000,63298000000,-2272000000,3532000000,5080000000
McKesson,0000927653,2023,2023-03-31,276711000000,12358000000,4381000000,3560000000,5159000000,390000000,19691000000,19410000000,42490000000,62320000000,-1857000000,4678000000,4626000000
McKesson,0000927653,2024,2024-03-31,308951000000,12828000000,3909000000,3002000000,4314000000,431000000,21139000000,21622000000,47097000000,67443000000,-1971000000,4583000000,5579000000
McKesson,0000927653,2025,2025-03-31,359051000000,13323000000,4422000000,3295000000,6085000000,537000000,23001000000,25643000000,55330000000,75140000000,-2074000000,5691000000,4463000000
Cardinal Health,0000721371,2018,2018-06-30,136809000000,7181000000,126000000,256000000,2768000000,384000000,12308000000,7800000000,19677000000,39951000000,6059000000,1763000000,8012000000
Cardinal Health,0000721371,2019,2019-06-30,145534000000,6834000000,2060000000,1363000000,2722000000,328000000,12822000000,8448000000,21535000000,40963000000,6328000000,2531000000,7579000000
Cardinal Health,0000721371,2020,2020-06-30,152922000000,6868000000,-4098000000,-3696000000,1960000000,375000000,13198000000,8264000000,21374000000,40766000000,1789000000,2771000000,6765000000
Cardinal Health,0000721371,2021,2021-06-30,162467000000,6778000000,472000000,611000000,2429000000,400000000,14594000000,9103000000,23700000000,44453000000,1791000000,3407000000,5365000000
Cardinal Health,0000721371,2022,2022-06-30,181326000000,6484000000,-607000000,-938000000,3175000000,387000000,15636000000,10561000000,27128000000,43878000000,-709000000,4717000000,4735000000
Cardinal Health,0000721371,2023,2023-06-30,204979000000,6874000000,752000000,330000000,2844000000,481000000,16119000000,11108000000,29934000000,43349000000,-2958000000,4076000000,3909000000
Cardinal Health,0000721371,2024,2024-06-30,226827000000,7414000000,1243000000,852000000,3762000000,511000000,14957000000,12084000000,31759000000,45121000000,-3213000000,5133000000,4658000000
Cardinal Health,0000721371,2025,2025-06-30,222578000000,8168000000,2275000000,1561000000,2397000000,547000000,16831000000,13242000000,34713000000,53122000000,-2781000000,3874000000,7977000000
Cencora,0001140859,2018,2018-09-30,167939635000,4612317000,1443685000,1658405000,1411388000,336411000,11918508000,11314226000,26836873000,37669838000,2932824000,2492516000,4158532000
Cencora,0001140859,2019,2019-09-30,179589121000,5138312000,1111923000,855365000,2344023000,310222000,11060254000,12386879000,28385074000,39171980000,2878917000,3374194000,4033880000
Cencora,0001140859,2020,2020-09-30,189893926000,5191884000,-5135354000,-3408716000,2207040000,369677000,12589278000,13846301000,31705055000,44274830000,-1018924000,4597746000,4119520000
Cencora,0001140859,2021,2021-09-30,213988843000,6943228000,2354197000,1539932000,2666586000,438217000,15368352000,18167175000,38009954000,57337805000,223354000,2547142000,6683924000
Cencora,0001140859,2022,2022-09-30,238587006000,8296367000,2366378000,1698820000,2703088000,496318000,15556394000,18452675000,40192890000,56560616000,-211559000,3388189000,5702833000
Cencora,0001140859,2023,2023-09-30,262173411000,8959493000,2340731000,1745293000,3911334000,458359000,17454768000,20911081000,45836037000,62558746000,522003000,2592051000,4787457000
Cencora,0001140859,2024,2024-09-30,293958599000,9910029000,2175249000,1509120000,3484685000,487173000,18998833000,23871815000,50942162000,67101667000,645938000,3132648000,4388076000
Cencora,0001140859,2025,2025-09-30,321332819000,11478539000,2628601000,1554169000,3875120000,667981000,20492480000,25225299000,54719761000,76590112000,1508019000,4356138000,7660773000
