entity,cik,fiscal_year,metric,tag,start,end,value_usd,filed,accession,selection_rule
McKesson,0000927653,2018,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2017-04-01,2018-03-31,208357000000,2020-05-22,0000927653-20-000033,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2018,gross_profit,GrossProfit,2017-04-01,2018-03-31,11184000000,2020-05-22,0000927653-20-000033,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2018,operating_income,OperatingIncomeLoss,2017-04-01,2018-03-31,762000000,2020-05-22,0000927653-20-000033,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2018,net_income,NetIncomeLoss,2017-04-01,2018-03-31,67000000,2020-05-22,0000927653-20-000033,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2018,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-04-01,2018-03-31,4345000000,2020-05-22,0000927653-20-000033,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2018,capital_expenditure,PaymentsToAcquirePropertyPlantAndEquipment,2017-04-01,2018-03-31,405000000,2020-05-22,0000927653-20-000033,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2018,inventory,InventoryNet,,2018-03-31,16310000000,2019-05-15,0000927653-19-000009,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2018,receivables,ReceivablesNetCurrent,,2018-03-31,17711000000,2019-05-15,0000927653-19-000009,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2018,accounts_payable,AccountsPayableCurrent,,2018-03-31,32177000000,2019-05-15,0000927653-19-000009,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2018,assets,Assets,,2018-03-31,60381000000,2019-05-15,0000927653-19-000009,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2018,equity,StockholdersEquity,,2018-03-31,9804000000,2019-05-15,0000927653-19-000009,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2018,cash,CashAndCashEquivalentsAtCarryingValue,,2018-03-31,2672000000,2019-05-15,0000927653-19-000009,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2018,long_term_debt,LongTermDebtAndCapitalLeaseObligations,,2018-03-31,6751000000,2019-05-15,0000927653-19-000009,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2019,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2018-04-01,2019-03-31,214319000000,2021-05-12,0000927653-21-000039,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2019,gross_profit,GrossProfit,2018-04-01,2019-03-31,11754000000,2021-05-12,0000927653-21-000039,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2019,operating_income,OperatingIncomeLoss,2018-04-01,2019-03-31,886000000,2021-05-12,0000927653-21-000039,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2019,net_income,NetIncomeLoss,2018-04-01,2019-03-31,34000000,2021-05-12,0000927653-21-000039,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-04-01,2019-03-31,4036000000,2021-05-12,0000927653-21-000039,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2019,capital_expenditure,PaymentsToAcquirePropertyPlantAndEquipment,2018-04-01,2019-03-31,426000000,2021-05-12,0000927653-21-000039,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2019,inventory,InventoryNet,,2019-03-31,16709000000,2020-05-22,0000927653-20-000033,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2019,receivables,ReceivablesNetCurrent,,2019-03-31,18246000000,2020-05-22,0000927653-20-000033,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2019,accounts_payable,AccountsPayableCurrent,,2019-03-31,33853000000,2020-05-22,0000927653-20-000033,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2019,assets,Assets,,2019-03-31,59672000000,2020-05-22,0000927653-20-000033,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2019,equity,StockholdersEquity,,2019-03-31,8094000000,2020-05-22,0000927653-20-000033,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2019,cash,CashAndCashEquivalentsAtCarryingValue,,2019-03-31,2981000000,2021-05-12,0000927653-21-000039,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2019,long_term_debt,LongTermDebtAndCapitalLeaseObligations,,2019-03-31,7265000000,2020-05-22,0000927653-20-000033,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2020,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2019-04-01,2020-03-31,231051000000,2022-05-09,0000927653-22-000051,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2020,gross_profit,GrossProfit,2019-04-01,2020-03-31,12023000000,2022-05-09,0000927653-22-000051,latest-filed annual 10-K fact for the entity fiscal end
McKesson,0000927653,2020,operating_income,OperatingIncomeLoss,2019-04-01,2020-03-31,2489000000,2022-05-09,0000927653-22-000051,latest-filed annual 10-K fact for the entity fiscal end
