geoid,year,qoz_2018,population,population_source_code,poverty_universe,poverty_universe_source_code,poverty_count,poverty_count_source_code,median_household_income,median_household_income_source_code,median_gross_rent,median_gross_rent_source_code,civilian_labor_force,civilian_labor_force_source_code,unemployed,unemployed_source_code,workplace_jobs
25001010100,2018,1,2960,,2950,,325,,50741,,1307,,1781,,123,,2013
25001010100,2019,1,2973,,2949,,309,,59063,,1248,,1831,,135,,1945
25001010206,2018,0,3481,,3463,,365,,69267,,1174,,1723,,103,,813
25001010206,2019,0,3617,,3584,,352,,74639,,1196,,1779,,53,,886
25001010208,2018,0,1254,,1254,,68,,65446,,1040,,638,,34,,531
25001010208,2019,0,1122,,1122,,35,,68367,,1131,,651,,56,,545
25001010304,2018,0,2431,,2414,,107,,79044,,984,,1141,,64,,336
25001010304,2019,0,2394,,2377,,145,,85263,,966,,1073,,61,,322
25001010306,2018,0,2462,,2462,,243,,62553,,1295,,1157,,70,,835
25001010306,2019,0,2507,,2507,,259,,70071,,1360,,1181,,47,,789
25001010400,2018,0,3044,,2989,,195,,60188,,1237,,1418,,66,,2735
25001010400,2019,0,3066,,3007,,261,,66364,,1269,,1378,,63,,2699
25001010500,2018,0,2777,,2777,,192,,78682,,643,,1102,,46,,758
25001010500,2019,0,2742,,2742,,174,,95804,,683,,1211,,67,,748
25001010600,2018,0,3077,,2943,,220,,73203,,1025,,1401,,75,,1799
25001010600,2019,0,3108,,2975,,169,,82159,,1028,,1433,,53,,1866
25001010700,2018,0,3078,,3067,,322,,82417,,1025,,1485,,41,,1314
25001010700,2019,0,2911,,2896,,258,,88011,,1272,,1333,,45,,1321
25001010800,2018,0,4548,,4369,,256,,71776,,,-666666666,2248,,100,,1708
25001010800,2019,0,4390,,4239,,268,,71091,,1174,,2191,,72,,1573
25001010900,2018,0,5320,,5138,,228,,79423,,997,,2612,,61,,966
25001010900,2019,0,5447,,5263,,229,,82212,,1073,,2483,,62,,975
25001011002,2018,0,4045,,3897,,213,,70688,,1313,,2043,,137,,1137
25001011002,2019,0,4059,,3916,,288,,71475,,1292,,1994,,174,,1232
25001011100,2018,0,4672,,4672,,221,,83531,,1247,,2547,,39,,1325
25001011100,2019,0,4767,,4767,,251,,84013,,1407,,2548,,57,,1504
25001011200,2018,0,3425,,3395,,302,,66929,,1184,,1593,,89,,1038
25001011200,2019,0,3321,,3285,,217,,70386,,1255,,1514,,131,,1019
25001011300,2018,0,2558,,2558,,144,,81948,,1172,,1030,,83,,587
25001011300,2019,0,2551,,2551,,99,,84942,,1379,,1084,,63,,613
25001011400,2018,0,2891,,2891,,353,,59313,,1229,,1181,,73,,513
25001011400,2019,0,2970,,2970,,266,,63803,,1259,,1151,,47,,555
25001011500,2018,0,3790,,3668,,491,,52353,,1287,,1917,,142,,2274
25001011500,2019,0,3545,,3431,,304,,59250,,1412,,1882,,87,,2138
25001011600,2018,1,2964,,2955,,436,,48810,,1206,,1617,,104,,699
25001011600,2019,1,3001,,2992,,462,,54063,,1318,,1620,,110,,717
25001011700,2018,0,1759,,1759,,116,,65313,,1006,,896,,53,,572
25001011700,2019,0,1872,,1872,,119,,69375,,1049,,947,,39,,447
25001011801,2018,0,2323,,2323,,127,,68611,,1139,,939,,15,,336
25001011801,2019,0,2311,,2311,,108,,82419,,1575,,848,,11,,346
25001011802,2018,0,4114,,4114,,307,,71417,,1587,,1891,,58,,1081
25001011802,2019,0,4162,,4162,,341,,69453,,1677,,1971,,46,,1217
25001012001,2018,0,5644,,5541,,356,,62891,,1404,,2909,,117,,2525
25001012001,2019,0,5705,,5604,,369,,61938,,1418,,2908,,108,,2622
25001012002,2018,1,2816,,2744,,261,,54206,,1073,,1429,,112,,1351
25001012002,2019,1,2643,,2578,,252,,55309,,1224,,1339,,77,,1461
25001012101,2018,0,5434,,5405,,272,,64331,,1434,,3366,,253,,1166
25001012101,2019,0,5452,,5452,,247,,65122,,1456,,3241,,191,,1056
25001012102,2018,0,3050,,3042,,331,,54455,,1281,,1594,,82,,1294
25001012102,2019,0,3065,,3038,,318,,57813,,1372,,1531,,56,,1372
25001012200,2018,0,4788,,4772,,114,,105754,,1379,,2340,,69,,1699
25001012200,2019,0,4525,,4510,,33,,109339,,1370,,2156,,65,,1817
25001012502,2018,0,3657,,3538,,548,,63021,,1153,,1905,,105,,980
25001012502,2019,0,3736,,3626,,509,,67422,,1205,,1897,,95,,720
25001012601,2018,0,3107,,3048,,203,,64034,,1392,,1796,,102,,1076
25001012601,2019,0,3356,,3298,,225,,70436,,1431,,1845,,124,,1176
25001012602,2018,0,5204,,5148,,872,,44388,,1220,,2783,,158,,1299
25001012602,2019,0,5055,,4989,,462,,52597,,1298,,3021,,134,,1021
25001012700,2018,0,4142,,4142,,185,,83207,,1435,,2506,,117,,818
25001012700,2019,0,4240,,4240,,198,,92543,,1574,,2650,,106,,861
