geoid,latitude,longitude,population,population_source_code,population_moe,population_moe_source_code,poverty_population,poverty_population_source_code,poverty_count,poverty_count_source_code,poverty_count_moe,poverty_count_moe_source_code,median_household_income,median_household_income_source_code,median_income_moe,median_income_moe_source_code,workers,workers_source_code,public_transit_workers,public_transit_workers_source_code,median_gross_rent,median_gross_rent_source_code,median_rent_moe,median_rent_moe_source_code
25001010100,42.0598291,-70.2004073,3681,,23.0,,3638,,434,,289.0,,104500.0,,44329.0,,2054,,35,,1306.0,,212.0,
25001010206,41.9226356,-70.0153685,4371,,288.0,,4340,,278,,140.0,,114074.0,,24555.0,,2000,,19,,1200.0,,559.0,
25001010208,42.0135566,-70.0641514,1675,,287.0,,1675,,99,,112.0,,94637.0,,61388.0,,777,,0,,,-666666666,,-222222222
25001010304,41.825108,-69.9762027,2745,,314.0,,2745,,206,,119.0,,70779.0,,16503.0,,1114,,0,,,-666666666,,-222222222
25001010306,41.8593758,-69.9826347,3027,,316.0,,3027,,322,,199.0,,75777.0,,12860.0,,1222,,34,,1709.0,,92.0,
25001010400,41.7541457,-69.9861243,3335,,419.0,,3302,,479,,286.0,,82382.0,,23271.0,,1347,,8,,1202.0,,568.0,
25001010500,41.7662035,-69.941451,3007,,418.0,,3007,,200,,146.0,,113313.0,,28693.0,,1257,,0,,967.0,,956.0,
25001010600,41.6995108,-69.9561701,3380,,313.0,,3215,,243,,132.0,,80298.0,,6500.0,,1295,,0,,982.0,,495.0,
25001010700,41.6185172,-69.9812765,3263,,316.0,,3251,,345,,199.0,,112976.0,,32355.0,,1341,,71,,1629.0,,459.0,
25001010800,41.7434889,-70.1009106,4857,,482.0,,4808,,439,,258.0,,98043.0,,12908.0,,2017,,65,,1556.0,,286.0,
25001010900,41.7460505,-70.0354744,5510,,483.0,,5364,,656,,628.0,,91318.0,,29331.0,,2313,,14,,996.0,,804.0,
25001011002,41.6936245,-70.1052885,4370,,455.0,,4250,,306,,122.0,,93924.0,,16614.0,,1913,,0,,3501.0,,,-333333333
25001011100,41.7115325,-70.039728,5324,,502.0,,5282,,78,,50.0,,94694.0,,23789.0,,2898,,10,,1656.0,,687.0,
25001011200,41.6794471,-70.0549755,3812,,399.0,,3732,,211,,86.0,,77250.0,,12191.0,,1773,,11,,1684.0,,374.0,
25001011300,41.7302454,-70.1973919,2619,,544.0,,2619,,25,,22.0,,118810.0,,19444.0,,1110,,0,,1606.0,,361.0,
25001011400,41.7329758,-70.1527866,3497,,474.0,,3497,,234,,105.0,,92813.0,,24470.0,,1488,,0,,734.0,,89.0,
25001011500,41.696955,-70.1544713,4100,,467.0,,4032,,396,,254.0,,92527.0,,11871.0,,2321,,0,,1762.0,,701.0,
25001011600,41.6637873,-70.1363983,2677,,427.0,,2677,,380,,183.0,,56905.0,,11614.0,,1291,,15,,1286.0,,438.0,
25001011700,41.6639738,-70.168084,1910,,286.0,,1910,,112,,65.0,,91635.0,,26509.0,,787,,0,,1730.0,,108.0,
25001011801,41.7147036,-70.237039,2415,,356.0,,2415,,75,,52.0,,121250.0,,18190.0,,926,,11,,1600.0,,544.0,
25001011802,41.6945287,-70.2128176,4601,,470.0,,4593,,283,,232.0,,102256.0,,19346.0,,2383,,7,,1724.0,,206.0,
25001012001,41.682367,-70.1930295,6386,,696.0,,6183,,558,,535.0,,78085.0,,10976.0,,3017,,37,,1836.0,,178.0,
25001012002,41.6543614,-70.2047476,2720,,415.0,,2709,,367,,178.0,,76161.0,,12458.0,,1284,,68,,1097.0,,283.0,
25001012101,41.6676372,-70.2359515,5707,,583.0,,5569,,335,,206.0,,85595.0,,10291.0,,2631,,38,,1433.0,,360.0,
25001012102,41.6289275,-70.2518265,3262,,504.0,,3189,,287,,189.0,,56489.0,,6199.0,,1251,,36,,1586.0,,415.0,
25001012200,41.7027836,-70.3170066,5312,,995.0,,5270,,2,,8.0,,114710.0,,13657.0,,2621,,60,,2186.0,,564.0,
25001012502,41.6392454,-70.2929762,3486,,604.0,,3486,,386,,340.0,,61655.0,,21710.0,,1716,,38,,1659.0,,101.0,
25001012601,41.6624989,-70.3180404,3108,,681.0,,3043,,341,,238.0,,66080.0,,20508.0,,1387,,94,,1824.0,,146.0,
25001012602,41.6561004,-70.2993941,5112,,996.0,,5112,,571,,369.0,,67481.0,,13084.0,,3098,,65,,1464.0,,375.0,
25001012700,41.6439568,-70.342159,5089,,745.0,,5040,,129,,96.0,,123352.0,,31482.0,,2770,,17,,2169.0,,474.0,
25001012800,41.6697854,-70.3495154,4170,,713.0,,4064,,275,,241.0,,126838.0,,20257.0,,2095,,23,,1836.0,,387.0,
25001012900,41.6665236,-70.3680853,4571,,595.0,,4571,,315,,224.0,,108922.0,,22071.0,,2404,,7,,2262.0,,85.0,
25001013002,41.6279841,-70.3920127,2970,,474.0,,2970,,158,,118.0,,114219.0,,32210.0,,1448,,19,,1801.0,,675.0,
25001013100,41.680438,-70.4223405,5951,,711.0,,5951,,202,,116.0,,108981.0,,14566.0,,3050,,0,,2161.0,,1134.0,
25001013200,41.6316917,-70.4353237,5288,,815.0,,5288,,260,,175.0,,140197.0,,20841.0,,2797,,49,,2081.0,,378.0,
25001013300,41.7633827,-70.5007474,3151,,363.0,,3039,,195,,110.0,,104464.0,,24439.0,,1294,,9,,1690.0,,186.0,
25001013400,41.742102,-70.4343487,3926,,556.0,,3910,,442,,363.0,,130804.0,,25309.0,,1746,,0,,1453.0,,456.0,
25001013500,41.6967999,-70.4495131,7149,,680.0,,7142,,406,,342.0,,146536.0,,21113.0,,4453,,52,,,-666666666,,-222222222
25001013600,41.7037578,-70.4902898,6193,,530.0,,6105,,254,,173.0,,104625.0,,10680.0,,2983,,60,,1706.0,,242.0,
