GEO_ID|B01003_E001|B01003_M001
1400000US25001010100|3681|23
1400000US25001010206|4371|288
1400000US25001010208|1675|287
1400000US25001010304|2745|314
1400000US25001010306|3027|316
1400000US25001010400|3335|419
1400000US25001010500|3007|418
1400000US25001010600|3380|313
1400000US25001010700|3263|316
1400000US25001010800|4857|482
1400000US25001010900|5510|483
1400000US25001011002|4370|455
1400000US25001011100|5324|502
1400000US25001011200|3812|399
1400000US25001011300|2619|544
1400000US25001011400|3497|474
1400000US25001011500|4100|467
1400000US25001011600|2677|427
1400000US25001011700|1910|286
1400000US25001011801|2415|356
1400000US25001011802|4601|470
1400000US25001012001|6386|696
1400000US25001012002|2720|415
1400000US25001012101|5707|583
1400000US25001012102|3262|504
1400000US25001012200|5312|995
1400000US25001012502|3486|604
1400000US25001012601|3108|681
1400000US25001012602|5112|996
1400000US25001012700|5089|745
1400000US25001012800|4170|713
1400000US25001012900|4571|595
1400000US25001013002|2970|474
1400000US25001013100|5951|711
1400000US25001013200|5288|815
1400000US25001013300|3151|363
1400000US25001013400|3926|556
1400000US25001013500|7149|680
1400000US25001013600|6193|530
1400000US25001013700|4197|430
1400000US25001013800|5402|518
1400000US25001013900|5055|571
1400000US25001014002|4588|583
1400000US25001014100|854|246
1400000US25001014300|3737|702
1400000US25001014402|7382|789
1400000US25001014500|5954|594
1400000US25001014600|4361|566
1400000US25001014700|4098|622
1400000US25001014800|3709|442
1400000US25001014900|3600|398
1400000US25001015001|4668|412
1400000US25001015002|3924|454
1400000US25001015100|4080|385
1400000US25001015200|2562|348
1400000US25001015300|4175|594
1400000US25001990000|0|14
1400000US25003900100|3286|547
1400000US25003900200|4267|723
1400000US25003900300|2775|420
1400000US25003900400|4757|638
1400000US25003900500|3171|427
1400000US25003900600|3544|514
1400000US25003900700|2917|392
1400000US25003900800|5111|486
1400000US25003900900|5318|611
1400000US25003901100|3607|331
1400000US25003911100|3033|16
1400000US25003912100|6304|55
1400000US25003913100|5076|27
1400000US25003914100|5751|17
1400000US25003920101|4627|282
1400000US25003920102|2836|283
1400000US25003921300|4992|576
1400000US25003921400|1397|283
1400000US25003921500|2705|326
1400000US25003922100|2641|314
1400000US25003922200|3700|304
1400000US25003922300|1765|253
1400000US25003923100|3234|15
1400000US25003924100|1885|303
1400000US25003925101|1613|294
1400000US25003925102|5571|296
1400000US25003926100|3328|16
1400000US25003931100|1723|217
1400000US25003931300|1507|184
1400000US25003931400|1650|182
1400000US25003932200|2582|273
1400000US25003932300|1825|239
1400000US25003933200|1489|205
1400000US25003933300|1675|254
1400000US25003933400|2566|230
1400000US25003934200|1201|183
1400000US25003934300|1812|288
1400000US25003935100|2434|242
1400000US25003935200|4806|693
1400000US25003935300|3566|444
1400000US25005600100|4339|459
1400000US25005600202|4967|466
1400000US25005600203|6318|594
1400000US25005600204|4259|445
1400000US25005610100|5501|868
1400000US25005610202|5647|936
1400000US25005610203|6618|714
1400000US25005610204|6089|643
1400000US25005611101|5336|528
1400000US25005611102|5052|433
1400000US25005611201|3143|472
1400000US25005611202|5624|471
1400000US25005612100|4767|458
1400000US25005612201|4249|473
1400000US25005612202|6257|487
1400000US25005613100|7076|1111
1400000US25005613300|7185|643
1400000US25005613400|3780|481
1400000US25005613600|3972|522
1400000US25005613700|4659|651
1400000US25005613800|5194|886
1400000US25005613901|3198|518
1400000US25005613902|5280|1057
1400000US25005614000|5034|654
1400000US25005614101|7075|795
1400000US25005614102|7266|865
1400000US25005615100|8122|25
1400000US25005616100|6789|16
1400000US25005617101|4948|306
1400000US25005617102|4274|307
1400000US25005630101|3389|451
1400000US25005630102|4998|719
1400000US25005630201|3208|425
1400000US25005630202|5380|621
1400000US25005630301|5452|753
1400000US25005630302|3147|386
1400000US25005630400|5268|625
1400000US25005631101|3195|523
1400000US25005631102|4806|945
1400000US25005631200|8025|1307
1400000US25005631300|5329|706
1400000US25005631400|3642|664
1400000US25005631500|2889|509
1400000US25005631600|3698|657
1400000US25005631700|7023|836
1400000US25005631800|7892|890
1400000US25005632100|6904|636
1400000US25005632200|8669|636
1400000US25005633100|5956|556
1400000US25005633200|6853|556
1400000US25005640100|5682|877
1400000US25005640201|2844|618
1400000US25005640202|3918|570
1400000US25005640300|4329|736
1400000US25005640400|3093|699
1400000US25005640500|5211|775
1400000US25005640600|4515|760
1400000US25005640700|2766|435
1400000US25005640800|3745|579
1400000US25005640901|4730|988
1400000US25005641000|2528|432
1400000US25005641101|1423|392
1400000US25005641200|3431|699
1400000US25005641300|6131|842
1400000US25005641400|3290|501
1400000US25005641500|2710|395
1400000US25005641600|2396|394
1400000US25005641700|4815|581
1400000US25005641800|1923|260
1400000US25005641900|2787|530
1400000US25005642000|3379|477
1400000US25005642100|4346|932
1400000US25005642200|3688|572
1400000US25005642300|2058|233
1400000US25005642400|3085|486
1400000US25005642500|4941|470
1400000US25005644101|6068|495
1400000US25005644102|5010|462
1400000US25005644200|7168|484
1400000US25005645101|5375|679
1400000US25005645102|5792|562
1400000US25005645103|6064|561
1400000US25005646101|7743|541
1400000US25005646103|5923|497
1400000US25005646104|2716|340
1400000US25005650101|5889|770
1400000US25005650102|5305|609
1400000US25005650201|3240|826
1400000US25005650202|2048|311
1400000US25005650300|3462|665
1400000US25005650400|3796|664
1400000US25005650500|3578|395
1400000US25005650600|2432|442
1400000US25005650700|2527|479
1400000US25005650800|4073|592
1400000US25005650900|2926|611
1400000US25005651001|3150|369
1400000US25005651002|4049|571
1400000US25005651100|5168|748
1400000US25005651200|2377|381
1400000US25005651300|2248|363
1400000US25005651400|3349|483
1400000US25005651500|3092|431
1400000US25005651600|3872|822
1400000US25005651700|2405|334
1400000US25005651800|2014|267
1400000US25005651900|2115|346
1400000US25005652000|2963|433
1400000US25005652100|3143|404
1400000US25005652200|2963|355
1400000US25005652300|2519|718
1400000US25005652400|2768|460
1400000US25005652500|3223|557
1400000US25005652600|3359|705
1400000US25005652700|3507|653
1400000US25005652800|3171|428
1400000US25005653101|6730|649
1400000US25005653102|4965|500
1400000US25005653203|4973|598
1400000US25005653204|3063|455
1400000US25005653301|5115|568
1400000US25005653304|3268|392
1400000US25005654100|7269|380
1400000US25005654200|3294|382
1400000US25005655100|4111|519
1400000US25005655200|4490|477
1400000US25005655300|3429|410
1400000US25005655400|3848|345
1400000US25005985500|4507|182
1400000US25005985600|5279|412
1400000US25005990000|0|14
1400000US25007200100|4860|21
1400000US25007200200|5370|27
1400000US25007200300|5212|38
1400000US25007200400|5309|17
1400000US25007990000|0|14
1400000US25009201100|3328|35
1400000US25009202101|2340|252
1400000US25009202103|1520|345
1400000US25009202104|5165|641
1400000US25009202200|6254|676
1400000US25009203100|7148|628
1400000US25009203200|4521|486
1400000US25009203301|4340|536
1400000US25009203302|4325|523
1400000US25009204101|4780|482
1400000US25009204102|4903|450
1400000US25009204200|4905|700
1400000US25009204300|4088|568
1400000US25009204400|3432|473
1400000US25009204500|3333|461
1400000US25009204600|5073|619
1400000US25009204701|7080|778
1400000US25009204702|6577|645
1400000US25009205100|5853|708
1400000US25009205200|6100|865
1400000US25009205300|4372|542
1400000US25009205400|5309|659
1400000US25009205500|4951|658
1400000US25009205600|4310|530
1400000US25009205700|5185|686
1400000US25009205800|3521|774
1400000US25009205900|4788|875
1400000US25009206000|3300|661
1400000US25009206100|4211|856
1400000US25009206200|6074|1007
1400000US25009206300|4683|1131
1400000US25009206400|7082|831
1400000US25009206500|3362|782
1400000US25009206600|5721|776
1400000US25009206700|4101|474
1400000US25009206800|4092|886
1400000US25009206900|5007|775
1400000US25009207000|2045|324
1400000US25009207100|4160|843
1400000US25009207200|2678|439
1400000US25009208101|6054|564
1400000US25009208102|3094|433
1400000US25009208200|5315|682
1400000US25009208301|2885|433
1400000US25009208302|5133|571
1400000US25009208401|3360|874
1400000US25009208402|2758|409
1400000US25009209100|7340|522
1400000US25009209200|5624|528
1400000US25009210100|6797|751
1400000US25009210200|5519|760
1400000US25009210301|4955|525
1400000US25009210302|5069|722
1400000US25009210401|3647|441
1400000US25009210402|4057|629
1400000US25009210500|7022|729
1400000US25009210600|4571|724
1400000US25009210700|4418|590
1400000US25009210800|4078|641
1400000US25009210900|4047|636
1400000US25009211100|4110|513
1400000US25009211201|2796|733
1400000US25009211202|3714|479
1400000US25009211300|7163|729
1400000US25009211401|4105|411
1400000US25009211402|6036|674
1400000US25009212101|4798|406
1400000US25009212102|4929|409
1400000US25009213100|8155|24
1400000US25009214100|6535|21
1400000US25009215101|4605|294
1400000US25009215102|2966|294
1400000US25009216100|4930|38
1400000US25009217101|4530|784
1400000US25009217102|3038|492
1400000US25009217201|4179|458
1400000US25009217202|3514|362
1400000US25009217300|4929|561
1400000US25009217401|2588|414
1400000US25009217402|3527|504
1400000US25009217500|6646|692
1400000US25009217601|4172|340
1400000US25009217602|5285|792
1400000US25009218100|5368|41
1400000US25009220101|3763|346
1400000US25009220102|3214|347
1400000US25009221100|3928|444
1400000US25009221300|4602|496
1400000US25009221400|4004|446
1400000US25009221500|2948|416
1400000US25009221600|2778|443
1400000US25009221700|2702|481
1400000US25009221800|1893|261
1400000US25009221901|3467|478
1400000US25009221902|3540|391
1400000US25009222100|3680|17
1400000US25009223100|4110|453
1400000US25009223200|3903|377
1400000US25009223300|5807|487
1400000US25009250100|4085|497
1400000US25009250200|6906|1220
1400000US25009250300|2684|494
1400000US25009250400|4411|696
1400000US25009250500|4475|724
1400000US25009250600|5937|803
1400000US25009250700|5379|711
1400000US25009250800|8521|892
1400000US25009250900|2271|478
1400000US25009251000|1750|281
1400000US25009251100|2812|451
1400000US25009251200|1486|234
1400000US25009251300|3580|777
1400000US25009251400|5556|882
1400000US25009251500|7575|857
1400000US25009251600|6989|983
1400000US25009251700|5708|741
1400000US25009251800|8172|1006
1400000US25009252101|3769|550
1400000US25009252102|4647|764
1400000US25009252201|3421|510
1400000US25009252202|3374|506
1400000US25009252300|8126|1186
1400000US25009252400|4649|836
1400000US25009252501|5053|728
1400000US25009252502|4823|524
1400000US25009252601|7028|773
1400000US25009252602|4907|534
1400000US25009252603|3246|432
1400000US25009253100|6402|827
1400000US25009253201|3210|721
1400000US25009253202|7504|907
1400000US25009253203|4253|378
1400000US25009253204|5590|405
1400000US25009253205|4065|388
1400000US25009254100|6081|562
1400000US25009254200|5242|617
1400000US25009254301|4359|373
1400000US25009254302|4820|439
1400000US25009254401|3710|375
1400000US25009254402|8222|653
1400000US25009254403|4031|437
1400000US25009260100|5594|875
1400000US25009260200|3645|494
1400000US25009260301|4654|485
1400000US25009260302|3467|482
1400000US25009260401|4231|458
1400000US25009260402|7122|838
1400000US25009260500|3819|621
1400000US25009260600|3983|572
1400000US25009260700|5347|618
1400000US25009260800|5547|822
1400000US25009260900|5341|878
1400000US25009261000|4296|571
1400000US25009261101|5352|916
1400000US25009261102|4989|489
1400000US25009262100|6707|22
1400000US25009263100|4536|28
1400000US25009264100|6747|24
1400000US25009265101|4048|411
1400000US25009265102|4406|415
1400000US25009266100|4502|395
1400000US25009266200|5402|618
1400000US25009266300|3787|431
1400000US25009266400|3586|498
1400000US25009267102|5451|404
1400000US25009267103|1662|269
1400000US25009267104|2104|355
1400000US25009268100|2615|347
1400000US25009268200|7174|1003
1400000US25009268300|4122|596
1400000US25009268400|4533|654
1400000US25009269100|6729|19
1400000US25009270100|6214|14
1400000US25009990100|0|14
1400000US25011040100|4443|254
1400000US25011040200|4560|240
1400000US25011040300|2875|21
1400000US25011040400|3316|239
1400000US25011040501|4031|377
1400000US25011040502|3552|378
1400000US25011040600|4629|283
1400000US25011040701|3904|282
1400000US25011040702|4597|284
1400000US25011040800|5174|256
1400000US25011040900|5136|19
1400000US25011041000|3400|343
1400000US25011041100|3632|410
1400000US25011041200|3056|304
1400000US25011041301|2867|438
1400000US25011041302|2179|328
1400000US25011041400|2528|264
1400000US25011041501|3566|205
1400000US25011041502|3477|299
1400000US25013800101|4155|574
1400000US25013800102|4829|744
1400000US25013800201|5972|899
1400000US25013800202|1567|335
1400000US25013800300|4676|596
1400000US25013800400|6085|1109
1400000US25013800500|3753|671
1400000US25013800600|2392|483
1400000US25013800700|4014|560
1400000US25013800800|2011|437
1400000US25013800900|4200|786
1400000US25013801101|1636|215
1400000US25013801102|1213|448
1400000US25013801200|2364|468
1400000US25013801300|5340|738
1400000US25013801401|3836|375
1400000US25013801402|2564|405
1400000US25013801501|5394|725
1400000US25013801502|3582|653
1400000US25013801503|4291|703
1400000US25013801601|4870|975
1400000US25013801602|4734|470
1400000US25013801603|3931|399
1400000US25013801604|4150|863
1400000US25013801605|4876|734
1400000US25013801700|7468|946
1400000US25013801800|4223|683
1400000US25013801901|3802|986
1400000US25013801902|3161|548
1400000US25013802000|2603|454
1400000US25013802101|6963|1041
1400000US25013802200|3137|717
1400000US25013802300|6794|1197
1400000US25013802400|3783|499
1400000US25013802500|6985|705
1400000US25013802601|7567|1046
1400000US25013802602|1830|147
1400000US25013810100|6467|459
1400000US25013810200|2742|386
1400000US25013810300|3163|422
1400000US25013810403|4611|476
1400000US25013810404|3458|434
1400000US25013810412|5526|492
1400000US25013810414|7251|628
1400000US25013810601|4156|639
1400000US25013810602|2597|472
1400000US25013810700|6234|765
1400000US25013810800|4143|578
1400000US25013810901|2109|429
1400000US25013810902|4719|509
1400000US25013811000|5082|721
1400000US25013811101|3848|479
1400000US25013811102|7132|861
1400000US25013811200|4267|526
1400000US25013811301|5762|730
1400000US25013811302|5164|537
1400000US25013811400|2267|423
1400000US25013811500|2054|382
1400000US25013811600|3398|537
1400000US25013811700|1894|440
1400000US25013811800|3938|448
1400000US25013811900|3408|481
1400000US25013812001|3143|429
1400000US25013812002|4721|646
1400000US25013812101|5207|690
1400000US25013812103|3758|550
1400000US25013812104|4161|434
1400000US25013812201|4871|909
1400000US25013812202|3885|444
1400000US25013812300|5202|894
1400000US25013812401|6646|778
1400000US25013812403|3892|473
1400000US25013812404|4139|794
1400000US25013812500|7639|914
1400000US25013812600|6345|696
1400000US25013812701|4180|595
1400000US25013812702|5364|829
1400000US25013812800|7463|758
1400000US25013812901|2841|313
1400000US25013812902|4736|635
1400000US25013812903|2105|62
1400000US25013813001|2962|249
1400000US25013813002|3817|257
1400000US25013813101|5582|306
1400000US25013813102|3640|302
1400000US25013813204|3334|523
1400000US25013813205|7371|775
1400000US25013813206|4167|868
1400000US25013813207|4781|445
1400000US25013813208|3391|540
1400000US25013813209|5466|482
1400000US25013813301|7083|604
1400000US25013813303|4594|367
1400000US25013813304|4047|527
1400000US25013813401|5695|629
1400000US25013813403|3973|467
1400000US25013813404|6700|679
1400000US25013813500|4937|22
1400000US25013813601|8019|652
1400000US25013813602|6532|651
1400000US25013813701|3510|325
1400000US25013813702|4616|325
1400000US25013813801|4503|249
1400000US25013813802|3694|15
1400000US25015820101|6676|401
1400000US25015820102|3336|405
1400000US25015820205|7710|585
1400000US25015820206|3763|548
1400000US25015820207|5225|591
1400000US25015820300|6406|610
1400000US25015820400|12355|183
1400000US25015820500|6308|721
1400000US25015820600|1637|42
1400000US25015820700|3319|420
1400000US25015820801|4850|555
1400000US25015820802|597|12
1400000US25015820900|6088|18
1400000US25015821000|4036|430
1400000US25015821101|6824|482
1400000US25015821200|2059|52
1400000US25015821300|4491|421
1400000US25015821400|5299|16
1400000US25015821500|3324|25
1400000US25015821601|3628|400
1400000US25015821602|3570|375
1400000US25015821700|3724|396
1400000US25015821901|3104|278
1400000US25015821903|4123|471
1400000US25015821904|3145|521
1400000US25015822000|2205|83
1400000US25015822200|5141|543
1400000US25015822300|5375|506
1400000US25015822401|5838|547
1400000US25015822402|4890|577
1400000US25015822500|6212|17
1400000US25015822601|2205|298
1400000US25015822603|1514|146
1400000US25015822607|4645|271
1400000US25015822700|2973|228
1400000US25017300100|3188|17
1400000US25017301101|4057|351
1400000US25017301102|4995|352
1400000US25017310101|3805|455
1400000US25017310102|2750|584
1400000US25017310200|6597|955
1400000US25017310300|6563|850
1400000US25017310400|3823|634
1400000US25017310500|3703|501
1400000US25017310601|5688|664
1400000US25017310602|6189|943
1400000US25017310700|4475|546
1400000US25017311100|2383|384
1400000US25017311200|3175|579
1400000US25017311300|4606|880
1400000US25017311400|6334|991
1400000US25017311500|3245|579
1400000US25017311600|6329|963
1400000US25017311700|4840|787
1400000US25017311800|3722|745
1400000US25017311900|3016|371
1400000US25017312000|2909|593
1400000US25017312100|3480|551
1400000US25017312200|4846|629
1400000US25017312300|5163|727
1400000US25017312400|2169|316
1400000US25017312501|4836|529
1400000US25017312502|4054|361
1400000US25017313101|7118|672
1400000US25017313102|5306|676
1400000US25017314101|6907|790
1400000US25017314102|6951|648
1400000US25017314200|5665|874
1400000US25017314301|9329|805
1400000US25017314302|3504|385
1400000US25017315100|5835|723
1400000US25017315200|8733|967
1400000US25017315401|4042|759
1400000US25017315402|3302|380
1400000US25017315403|1590|118
1400000US25017315500|7666|649
1400000US25017316101|4633|399
1400000US25017316102|6646|953
1400000US25017316201|4388|667
1400000US25017316202|3793|312
1400000US25017316300|8536|907
1400000US25017316400|6902|654
1400000US25017316500|6802|737
1400000US25017317101|6486|566
1400000US25017317102|5136|1141
1400000US25017317103|4908|549
1400000US25017317201|2687|190
1400000US25017317202|4259|995
1400000US25017317203|3812|372
1400000US25017317301|3418|954
1400000US25017317302|5514|646
1400000US25017318100|6831|595
1400000US25017318200|4976|452
1400000US25017318300|8224|719
1400000US25017318400|4553|454
1400000US25017320102|5713|511
1400000US25017320105|2464|286
1400000US25017320106|6614|874
1400000US25017320107|4259|514
1400000US25017321100|6525|861
1400000US25017321200|8140|1106
1400000US25017321301|4650|729
1400000US25017321302|3299|518
1400000US25017321400|4436|572
1400000US25017321500|7229|788
1400000US25017321600|7119|1012
1400000US25017322100|4843|567
1400000US25017322200|4381|393
1400000US25017322300|5843|538
1400000US25017322400|4892|602
1400000US25017323101|3702|420
1400000US25017323102|3407|420
