GEO_ID|B08301_E001|B08301_M001|B08301_E002|B08301_M002|B08301_E003|B08301_M003|B08301_E004|B08301_M004|B08301_E005|B08301_M005|B08301_E006|B08301_M006|B08301_E007|B08301_M007|B08301_E008|B08301_M008|B08301_E009|B08301_M009|B08301_E010|B08301_M010|B08301_E011|B08301_M011|B08301_E012|B08301_M012|B08301_E013|B08301_M013|B08301_E014|B08301_M014|B08301_E015|B08301_M015|B08301_E016|B08301_M016|B08301_E017|B08301_M017|B08301_E018|B08301_M018|B08301_E019|B08301_M019|B08301_E020|B08301_M020|B08301_E021|B08301_M021
1400000US25001010100|2054|230|897|248|765|232|132|111|86|98|46|74|0|14|0|14|0|14|35|33|10|16|25|29|0|14|0|14|0|14|0|14|0|14|180|102|248|129|51|42|643|176
1400000US25001010206|2000|261|1508|241|1400|230|108|97|108|97|0|14|0|14|0|14|0|14|19|28|0|14|19|28|0|14|0|14|0|14|0|14|0|14|0|14|94|69|0|14|379|159
1400000US25001010208|777|296|434|232|433|232|1|3|1|3|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|1|2|51|55|291|188
1400000US25001010304|1114|263|874|250|836|246|38|50|8|14|30|47|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|10|15|230|127
1400000US25001010306|1222|274|912|240|887|236|25|28|12|19|13|20|0|14|0|14|0|14|34|39|19|31|15|23|0|14|0|14|0|14|0|14|0|14|84|131|0|14|18|29|174|66
1400000US25001010400|1347|266|1117|256|992|248|125|60|74|54|51|50|0|14|0|14|0|14|8|16|0|14|0|14|0|14|8|16|0|14|0|14|0|14|0|14|16|19|0|14|206|92
1400000US25001010500|1257|261|823|194|781|187|42|51|28|34|14|21|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|28|28|19|26|387|125
1400000US25001010600|1295|235|868|208|861|208|7|11|7|11|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|9|13|0|14|418|197
1400000US25001010700|1341|235|983|202|900|193|83|64|83|64|0|14|0|14|0|14|0|14|71|93|0|14|71|93|0|14|0|14|0|14|0|14|0|14|0|14|45|37|13|20|229|100
1400000US25001010800|2017|366|1590|336|1534|342|56|61|14|23|28|45|14|21|0|14|0|14|65|66|0|14|35|53|0|14|0|14|30|50|0|14|0|14|22|34|20|32|62|62|258|116
1400000US25001010900|2313|368|1849|373|1814|373|35|42|35|42|0|19|0|19|0|19|0|19|14|24|14|24|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|53|76|397|174
1400000US25001011002|1913|379|1413|297|1217|248|196|124|196|124|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|9|15|30|37|3|9|0|14|458|180
1400000US25001011100|2898|544|2500|493|2472|488|28|44|28|44|0|19|0|19|0|19|0|19|10|18|0|19|0|19|10|18|0|19|0|19|0|19|0|19|0|19|17|27|68|82|303|192
1400000US25001011200|1773|352|1330|347|1286|345|44|33|10|18|24|21|10|14|0|14|0|14|11|18|11|18|0|14|0|14|0|14|0|14|0|14|0|14|0|14|37|39|26|39|369|123
1400000US25001011300|1110|253|702|225|676|223|26|22|18|19|0|14|8|13|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|13|20|0|14|10|11|0|14|385|220
1400000US25001011400|1488|270|1380|290|1311|276|69|70|33|33|0|14|0|14|36|56|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|21|29|87|79
1400000US25001011500|2321|410|2036|350|1607|292|429|181|149|89|198|115|11|19|71|72|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|285|143
1400000US25001011600|1291|338|1090|311|991|305|99|62|99|62|0|14|0|14|0|14|0|14|15|27|15|27|0|14|0|14|0|14|0|14|0|14|0|14|0|14|96|98|0|14|90|68
1400000US25001011700|787|135|645|122|593|128|52|60|28|53|11|16|0|14|13|15|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|39|42|0|14|103|37
1400000US25001011801|926|189|746|161|662|157|84|112|84|112|0|14|0|14|0|14|0|14|11|16|11|16|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|169|75
1400000US25001011802|2383|308|1904|273|1779|264|125|74|114|67|11|17|0|14|0|14|0|14|7|15|7|15|0|14|0|14|0|14|0|14|0|14|0|14|0|14|93|69|10|18|369|143
1400000US25001012001|3017|510|2684|497|2394|435|290|294|290|294|0|19|0|19|0|19|0|19|37|41|22|36|15|22|0|19|0|19|0|19|0|19|0|19|84|120|0|19|66|99|146|102
1400000US25001012002|1284|215|1123|216|1046|217|77|56|59|51|18|22|0|14|0|14|0|14|68|54|68|54|0|14|0|14|0|14|0|14|0|14|0|14|0|14|13|21|32|50|48|41
1400000US25001012101|2631|454|2390|439|2291|443|99|106|34|42|65|98|0|19|0|19|0|19|38|58|38|58|0|19|0|19|0|19|0|19|0|19|0|19|15|23|19|29|23|37|146|90
1400000US25001012102|1251|294|1100|263|989|248|111|95|111|95|0|14|0|14|0|14|0|14|36|55|36|55|0|14|0|14|0|14|0|14|0|14|2|10|0|14|22|26|26|29|65|62
1400000US25001012200|2621|479|2266|459|2159|461|107|64|50|50|27|35|30|39|0|19|0|19|60|77|14|22|0|19|0|19|0|19|46|73|0|19|0|19|0|19|0|19|0|19|295|124
1400000US25001012502|1716|280|1361|253|1181|257|180|135|169|135|11|18|0|14|0|14|0|14|38|37|38|37|0|14|0|14|0|14|0|14|52|76|0|14|51|54|42|67|0|14|172|120
1400000US25001012601|1387|312|940|251|863|246|77|66|77|66|0|14|0|14|0|14|0|14|94|84|94|84|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|28|46|325|151
1400000US25001012602|3098|625|2793|595|2530|576|263|184|162|151|48|89|35|49|0|19|18|30|65|94|0|19|0|19|0|19|0|19|65|94|44|57|0|19|16|27|53|63|0|19|127|108
1400000US25001012700|2770|531|2455|517|2093|402|362|221|192|170|170|134|0|19|0|19|0|19|17|27|0|19|0|19|17|27|0|19|0|19|0|19|0|19|44|57|32|39|0|19|222|97
1400000US25001012800|2095|368|1908|352|1770|342|138|81|65|50|17|17|42|46|0|14|14|17|23|27|23|27|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|9|14|155|69
1400000US25001012900|2404|276|2048|281|1737|290|311|205|173|110|19|22|119|121|0|14|0|14|7|11|7|11|0|14|0|14|0|14|0|14|0|14|0|14|23|35|53|76|20|22|253|103
1400000US25001013002|1448|313|1183|297|1117|289|66|45|58|47|8|12|0|14|0|14|0|14|19|22|19|22|0|14|0|14|0|14|0|14|0|14|0|14|0|14|36|51|18|19|192|97
1400000US25001013100|3050|467|2738|475|2648|504|90|101|90|101|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|12|19|0|19|0|19|8|14|50|60|242|111
1400000US25001013200|2797|742|1955|596|1703|448|252|196|197|191|55|51|0|19|0|19|0|19|49|45|47|44|0|19|2|10|0|19|0|19|0|19|0|19|0|19|25|35|0|19|768|509
1400000US25001013300|1294|277|1009|222|904|178|105|88|105|88|0|14|0|14|0|14|0|14|9|14|0|14|9|14|0|14|0|14|0|14|0|14|0|14|0|14|6|10|0|14|270|160
1400000US25001013400|1746|222|1420|222|1279|222|141|94|122|90|19|31|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|27|50|0|14|44|44|255|110
1400000US25001013500|4453|669|3366|502|3161|517|205|125|169|110|36|48|0|19|0|19|0|19|52|54|52|54|0|19|0|19|0|19|0|19|0|19|0|19|0|19|104|141|211|280|720|202
1400000US25001013600|2983|421|2711|424|2533|407|178|101|178|101|0|19|0|19|0|19|0|19|60|94|60|94|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|212|106
1400000US25001013700|2253|372|1651|285|1502|250|149|79|127|73|22|36|0|14|0|14|0|14|33|37|0|14|0|14|0|14|0|14|33|37|0|14|11|16|0|14|58|40|37|60|463|206
1400000US25001013800|3219|420|2750|409|2546|422|204|174|153|141|0|19|28|46|23|42|0|19|0|19|0|19|0|19|0|19|0|19|0|19|19|31|0|19|0|19|16|20|39|65|395|151
1400000US25001013900|2640|522|2366|548|2180|573|186|141|119|120|36|57|0|19|31|51|0|19|17|26|0|19|0|19|0|19|0|19|17|26|0|19|0|19|0|19|65|102|0|19|192|168
1400000US25001014002|2035|356|1624|323|1498|259|126|140|126|140|0|14|0|14|0|14|0|14|21|23|12|18|0|14|0|14|0|14|9|15|0|14|0|14|0|14|0|14|0|14|390|166
