OBJECTID,YEAR_,AGENCY,UNIT_ID,FIRE_NAME,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,GlobalID
1,2025,USF,LPF,GIFFORD,14,3,1,131613.5,e87207ff-bd3d-4836-8a89-ad218a20b17e
2,2025,USF,LPF,MADRE,14,7,1,80779.1,c59c71e2-f79f-440b-8c84-48058988f3cf
3,2025,USF,SNF,GARNET,1,3,1,60019.23,ddd0b278-7655-4f20-829d-feeef1dc935f
4,2025,CDF,FKU,SALT,1,7,1,25553.55,6817a72c-90cf-4cd4-8f26-2b9622f1f140
5,2025,CDF,LDF,PALISADES,14,7,1,23448.88,73730f90-5d60-4850-98c2-2431c4284cd7
6,2025,USF,SRF,BUTLER,14,7,1,21057.61,a46a3d23-edec-4b99-b508-f60ef738b1cb
7,2025,USF,SHF,GREEN,1,3,1,19021.99,78d040b5-089a-45e1-91d9-9904e116ca0d
8,2025,CDF,LAC,EATON,14,7,1,14056.26,d8dcb0e7-0ad6-46a4-901a-86d777bb09af
9,2025,USF,SRF,DILLON,1,7,1,11929.38,ff4f07c5-fb4c-45e2-8982-a51a936094be
10,2025,CDF,ANF,HUGHES,14,7,1,10396.8,b034497d-9e0c-419c-b3e8-9d414845eb97
11,2025,CDF,TCU,6-5,1,3,1,6957.999,b53d79e2-2269-41c2-8f91-9ec4adbd5f78
12,2025,CDF,LNU,PICKETT,14,1,1,6822.29,c465575b-0b61-4908-a241-8180b23fac39
13,2025,CDF,SDU,BORDER 2,5,4,1,6629.878,43b71756-6080-4e7c-a16d-5df155a24d6f
14,2025,CCO,VNC,CANYON,14,2,1,5367.721,a71d2959-c175-42d2-a4a7-6c6a125f16a1
15,2025,CDF,MMU,1-4,1,3,1,4451.064,0bfdace2-96aa-4a12-8712-e0d5563f4118
16,2025,CCO,KRN,DOGS,14,2,1,4406.828,eee08e1c-6cd8-4db2-84b1-83a6cb07d75d
17,2025,BLM,CDD,JAW,11,7,1,4326.964,8f3fa180-8df4-4bd3-b848-4ba150519aea
18,2025,BLM,CDD,RANCH,14,3,1,4291.886,5f67ee68-90be-4f1b-96ec-ea9fa302b168
19,2025,USF,KNF,BLUE,1,7,1,3712.53,e4df2a7f-a115-4cdb-bdd3-e7b7c26f2aa2
20,2025,CDF,TCU,2-2,1,3,1,3462.842,22f47e0e-2385-42ff-93d1-f46b1b3027c0
21,2025,USF,MDF,MAMMOTH,1,8,1,2534.267,2d046bbe-6217-4b6a-bc43-571af62509f2
22,2025,USF,SQF,LITTLE,14,7,1,2506.547,338de310-1602-479f-b998-7abadb709840
23,2025,CDF,RRU,WOLF,9,3,1,2413.62,9327deb5-553e-4ef9-aad3-ef158af763bc
24,2025,USF,INF,PACK,9,4,1,1974.433,f93415fa-4a31-4f4a-84ef-7c1dcf10a069
25,2025,CDF,TUU,SPRINGS,10,1,1,1817,cd8fe585-b481-4c52-acce-e9b2020f2a03
26,2025,CDF,RRU,ROSA,14,7,1,1670.898,62d979b3-9eb9-453e-8ffc-4d2a68da7a83
27,2025,CDF,SLU,BITTER,2,7,1,1663.73,737cc6a8-4fcc-4e59-a4b1-9089325c421d
28,2025,CDF,BDU,SILVER,7,5,1,1605.057,6c678968-5c12-490c-9a41-fc3ab1b2a936
29,2025,CDF,TCU,2-8,1,3,1,1339.798,d83012b0-43d7-49b7-9c44-48af0058fd3e
30,2025,USF,KNF,LOG,1,7,1,1169.689,ae6d8833-b8ff-4ce5-9bba-d1f6ee42e365
31,2025,CDF,SDU,MONTE,7,3,1,1051.101,145430d4-9d55-49dd-9010-79f47f4b9c1f
32,2025,CDF,RRU,DALE,14,7,1,1038.642,484d5bef-ccd9-4d01-9667-880c6562630b
33,2025,USF,BDF,GOLD,14,7,1,1036.112,531ba367-d826-44fe-8ae7-27f03298034e
34,2025,CDF,TCU,6-2,1,3,1,1024.863,2027c158-c30e-4ab6-9dca-138cef4f16cf
35,2025,CCO,VNC,KENNETH,14,7,1,1011.711,3f5f027c-6b68-45fa-9df5-a03953e5381c
36,2025,USF,MDF,MOUNTAIN,1,8,1,979.9208,d7698883-52d4-42a1-af49-a6cac9cd32fe
37,2025,USF,KNF,BIG CLIFF,1,3,1,973.5111,f15a1a03-1142-42d3-b205-e6100548d4e4
38,2025,USF,SQF,DEMOCRAT,14,8,1,902.7862,5915770a-e77f-4ed9-af85-4ab8cf7434cc
39,2025,CDF,FKU,DIAS,7,3,1,852.0876,e56c2d15-e090-422f-93be-dfca3d53fec5
40,2025,CDF,LDF,HURST,14,7,1,831.3855,e848c2d6-05d1-4d9d-b8c0-ad7535295ccd
41,2025,USF,SHF,ROOT,4,7,1,728.6754,03b3e9ba-9a14-422a-99b2-82a918a3fdf8
42,2025,BLM,CND,INN,14,7,1,726.5966,e8109098-7994-435c-ba6f-13c2de2acd31
43,2025,USF,KNF,SUMMIT,1,7,1,701.2705,cbc2b9c5-df12-4655-a8f3-6e349babd0c3
44,2025,CCO,KRN,FAY,14,2,1,648.1592,be43db27-681f-4633-afe9-afda10213bf3
45,2025,CDF,MMU,ACRES,5,2,1,631.9116,311a06ec-8193-4770-accf-f2d1b0ee179c
46,2025,CDF,AEU,COYOTE,7,3,1,623.9064,0c458f64-a3b1-492c-a8f0-f76f9b0c76e0
47,2025,CDF,TCU,2-7,1,3,1,615.7525,cd18bc3f-5884-465a-9476-11362239e5fc
48,2025,CCO,KRN,HUDSON,14,4,1,610.8146,cd8f6603-2fde-47c0-b034-3e443b4aa141
49,2025,CDF,BEU,LITTLE,11,2,1,592.3416,a9b38609-31b2-4ef4-a3e7-ee7e82bc578c
50,2025,USF,LAC,KING,14,2,1,577.1489,365c6d51-73f2-494b-9a2b-3a63df9acac5
51,2025,CDF,RRU,JUNIPER,2,3,1,560.1605,7718fb91-7c10-4283-b30e-71e324db460b
52,2025,USF,SHF,PEAK,1,7,1,505.3025,be246419-f76d-40bf-ac81-37bce7d536c6
53,2025,CDF,BDU,LAKE,14,2,1,488.7244,81fb97e6-3a18-4968-afae-bfec8a4aebd9
54,2025,CCO,LAC,HAWK,14,2,1,480.2473,e2c6b2e7-a0be-494e-ac73-fc2309c17c56
55,2025,CDF,FKU,FIRESTONE,10,3,1,472.0678,891d464c-7d80-4d78-bc01-d6c8041d5b45
56,2025,CDF,MMU,18-1,1,7,1,463.0268,b105bfd7-d6b0-4ade-a769-942e5ce2553c
57,2025,CDF,MMU,NELLA,10,4,1,458.0139,b4a866ba-9fe3-430b-8033-df058f253dcc
58,2025,USF,SHF,HORSE,1,8,1,430.1073,6e626c1d-f28c-4076-ba59-bb0d8161be1a
59,2025,CDF,BEU,PANOCHE,9,5,1,422.5481,fa3ff9fe-190f-43e5-9933-80b155e6421b
60,2025,CDF,MMU,RUN,7,2,1,420.0106,f08d01ac-61c7-44a6-b507-984f734156d2
61,2025,CDF,HUU,BRIDGE,10,2,1,419.0038,c879c6dd-fb7d-487d-ad1e-5b7e3c5ac6b3
62,2025,USF,SNF,MAX,9,3,1,410.0221,5c21708d-a6fc-4b00-9d92-83c906faa2e8
63,2025,USF,MDF,LAKE,1,1,1,398.1307,c15a8c85-f621-44e9-980e-b1c76b5be32a
64,2025,CDF,LNU,LAKE,14,7,1,397.7174,fd1f5eb2-935a-4a73-8d5d-58e722d8b549
65,2025,CCO,KRN,FORT,14,4,1,389.011,14a33cb7-d11f-4acf-8eba-716d1f7c6bf1
66,2025,CDF,TCU,CAMINO,10,1,1,385.9513,ea23c231-4221-43f5-bfb4-6fea983f7c6f
67,2025,LRA,KRN,TWISSELMAN,14,1,1,383.8156,e0b3435d-7339-4ee8-81da-89e326922f01
68,2025,USF,STF,GIANELLI,1,7,1,373.5635,93040be7-07fe-4309-9988-eddaad0b2fe6
69,2025,CDF,SCU,SOMERSVILLE,4,1,1,358.065,67009269-f007-4ef2-a58b-db7cc37ffc94
70,2025,CDF,LAC,LIDIA,14,7,1,347.7042,4523d61f-2fb5-4b4e-8a25-ae32f4326853
